customer_id,segment_true,annual_income_eur,savings_eur,green_preference,financing_sensitivity
CUS_000046,first_home,36842,28193,0.878,0.633
CUS_000047,first_home,67673,16428,0.617,0.745
CUS_000048,first_home,37856,16746,0.568,0.822
CUS_000049,first_home,43762,32540,0.779,0.572
CUS_000050,investor,45901,25412,0.928,0.671
CUS_000051,first_home,50770,24485,1.0,0.967
CUS_000052,upsizer,50871,14534,0.358,0.557
CUS_000053,investor,70066,22267,0.728,0.531
CUS_000054,first_home,53738,20117,0.79,1.0
CUS_000055,first_home,41035,20135,0.539,0.773
CUS_000056,first_home,30051,19805,0.407,0.619
CUS_000057,first_home,41663,18797,0.842,0.758
CUS_000058,investor,62373,20411,0.342,0.308
CUS_000059,first_home,61417,25341,0.659,0.749
CUS_000060,first_home,43576,22821,0.393,0.84
CUS_000061,first_home,29630,14538,0.572,0.856
CUS_000062,first_home,26863,10348,0.189,0.459
CUS_000063,investor,87685,20023,0.312,0.212
CUS_000064,upsizer,96780,60378,0.126,0.551
CUS_000065,investor,77388,29630,1.0,0.501
CUS_000066,upsizer,101026,47903,0.215,0.475
CUS_000067,investor,63923,19701,0.772,0.359
CUS_000068,first_home,47723,14488,0.378,0.599
CUS_000069,upsizer,65506,34032,0.0,0.756
CUS_000070,first_home,16000,3233,0.623,0.749
CUS_000071,first_home,18771,4140,1.0,0.959
CUS_000072,upsizer,96010,67358,0.373,0.238
CUS_000073,investor,89130,51580,1.0,0.556
CUS_000074,upsizer,68181,34433,1.0,0.707
CUS_000075,first_home,62501,14810,0.302,0.797
CUS_000076,investor,98592,46310,0.145,0.195
CUS_000077,first_home,38299,15961,0.372,0.804
CUS_000078,first_home,41800,14646,0.822,0.743
CUS_000079,upsizer,60669,25109,0.076,0.85
CUS_000080,first_home,23954,4131,0.679,0.861
CUS_000081,investor,71573,4117,0.583,0.606
CUS_000082,upsizer,87284,42198,0.402,0.561
CUS_000083,upsizer,124339,57082,0.442,0.94
CUS_000084,first_home,41717,19830,0.516,0.866
CUS_000085,first_home,43042,24471,0.581,0.709
CUS_000086,upsizer,62418,32587,0.954,0.697
CUS_000087,investor,16000,11156,0.46,0.211
CUS_000088,first_home,62865,40378,0.537,0.586
CUS_000089,first_home,34470,15185,0.709,0.425
CUS_000090,first_home,36326,16655,0.322,0.579
CUS_000091,upsizer,76315,35900,0.945,0.472
CUS_000092,first_home,31664,4874,0.36,0.945
CUS_000093,premium,107165,63828,0.673,0.0
CUS_000094,first_home,45082,24135,0.496,0.773
CUS_000095,first_home,62537,8233,0.561,0.696
CUS_000096,investor,119656,84827,1.0,0.15
CUS_000097,upsizer,95827,33821,0.623,0.615
CUS_000098,first_home,16000,6522,0.392,0.649
CUS_000099,first_home,16625,6720,0.337,0.663
CUS_000100,investor,88063,35143,0.863,0.577
CUS_000101,first_home,58432,50313,0.667,0.497
CUS_000102,first_home,45645,17482,0.438,0.91
CUS_000103,investor,50542,18781,0.824,0.488
CUS_000104,first_home,55228,23941,0.362,0.699
CUS_000105,investor,51185,14193,0.349,0.163
CUS_000106,first_home,52649,25405,0.525,0.664
CUS_000107,investor,35572,10038,0.487,0.337
CUS_000108,premium,86181,44827,0.138,0.472
CUS_000109,premium,56293,13638,0.436,0.254
CUS_000110,investor,41668,13513,0.694,0.567
CUS_000111,investor,104004,25909,0.467,0.584
CUS_000112,first_home,39436,13181,0.551,0.581
CUS_000113,first_home,40273,4366,0.314,0.76
CUS_000114,first_home,55830,1500,0.627,0.606
CUS_000115,investor,41767,15538,0.677,0.589
CUS_000116,first_home,29788,4573,0.897,0.636
CUS_000117,first_home,33261,24683,0.482,0.513
CUS_000118,first_home,39281,14353,0.497,0.876
CUS_000119,investor,51223,28559,0.712,0.295
CUS_000120,first_home,47773,23200,0.523,0.488
CUS_000121,first_home,37029,8839,0.711,0.831
CUS_000122,investor,68434,24245,0.735,0.352
CUS_000123,upsizer,52255,29436,0.303,0.428
CUS_000124,investor,130818,72158,0.292,0.089
CUS_000125,first_home,55043,32252,0.42,0.928
CUS_000126,premium,162167,50570,0.146,0.538
CUS_000127,first_home,39360,21063,1.0,0.934
CUS_000128,first_home,49382,15858,0.254,0.807
CUS_000129,first_home,54257,33203,0.837,0.773
CUS_000130,first_home,45275,27455,0.313,0.634
CUS_000131,investor,70849,12942,0.819,0.443
CUS_000132,first_home,58883,28245,0.844,0.883
CUS_000133,premium,93292,21721,0.144,0.613
CUS_000134,investor,65023,37649,0.533,0.329
CUS_000135,first_home,54200,12299,0.97,0.883
CUS_000136,first_home,37515,18310,0.584,0.572
CUS_000137,investor,64904,36539,0.777,0.378
CUS_000138,first_home,40283,17809,0.623,0.834
CUS_000139,first_home,50626,29621,0.773,0.526
CUS_000140,first_home,59986,28960,0.864,0.724
CUS_000141,investor,45366,32300,0.516,0.045
CUS_000142,first_home,59775,13850,0.561,0.746
CUS_000143,premium,82515,29779,0.485,0.24
CUS_000144,first_home,55826,4715,0.263,0.887
CUS_000145,first_home,41381,15585,0.729,0.669
CUS_000146,investor,107398,23234,0.579,0.086
CUS_000147,premium,81758,14746,0.862,0.391
CUS_000148,investor,61470,9222,1.0,0.558
CUS_000149,first_home,31142,10739,0.431,0.561
CUS_000150,upsizer,75918,36114,0.461,0.11
CUS_000151,first_home,54207,27973,0.411,0.632
CUS_000152,first_home,57041,34815,0.908,0.728
CUS_000153,investor,95316,57186,0.23,0.361
CUS_000154,first_home,27194,6169,0.642,0.635
CUS_000155,investor,73722,21846,0.204,0.109
CUS_000156,upsizer,52496,24395,0.913,0.45
CUS_000157,first_home,26634,12452,0.735,0.469
CUS_000158,first_home,33133,22478,0.408,0.928
CUS_000159,first_home,45069,17044,0.992,0.721
CUS_000160,first_home,31738,18033,0.368,0.534
CUS_000161,investor,57499,23246,0.589,0.697
CUS_000162,upsizer,78729,38923,0.031,0.592
CUS_000163,investor,108026,54002,0.71,0.428
CUS_000164,upsizer,67271,28656,0.475,0.6
CUS_000165,first_home,49443,12574,0.506,0.723
CUS_000166,first_home,41264,19799,0.329,0.847
CUS_000167,first_home,43830,23921,0.295,0.773
CUS_000168,premium,120553,54160,0.429,0.082
CUS_000169,first_home,29873,1500,0.869,0.874
CUS_000170,first_home,30146,12004,0.658,0.962
CUS_000171,first_home,39304,21701,0.352,0.363
CUS_000172,first_home,54914,13928,0.026,0.555
CUS_000173,investor,53800,33457,1.0,0.549
CUS_000174,upsizer,96019,30698,0.0,0.58
CUS_000175,first_home,40048,14916,0.832,0.523
CUS_000176,investor,76912,35926,0.679,0.266
CUS_000177,first_home,34790,9190,0.512,0.981
CUS_000178,first_home,38815,23061,0.422,0.69
CUS_000179,first_home,48165,31672,0.744,0.769
CUS_000180,investor,111220,25801,0.823,0.217
CUS_000181,investor,67438,26746,0.825,0.733
CUS_000182,investor,89244,68789,0.828,0.0
CUS_000183,premium,142831,89683,0.198,0.207
CUS_000184,first_home,54349,7585,0.397,0.693
CUS_000185,investor,43313,27723,0.408,0.236
CUS_000186,investor,70992,1500,0.574,0.325
CUS_000187,first_home,42460,22955,0.628,0.739
CUS_000188,first_home,32905,9074,0.817,0.599
CUS_000189,first_home,24615,12623,0.554,0.892
CUS_000190,first_home,29530,14010,0.748,0.34
CUS_000191,first_home,35391,16071,0.475,0.961
CUS_000192,first_home,35466,18989,1.0,0.714
CUS_000193,upsizer,85875,29260,0.408,0.241
CUS_000194,upsizer,70296,22649,0.404,0.475
CUS_000195,investor,48979,29265,0.624,0.228
CUS_000196,investor,47715,20566,0.839,0.189
CUS_000197,upsizer,47434,15534,0.375,0.554
CUS_000198,first_home,38780,15432,0.49,0.607
CUS_000199,first_home,33745,12902,0.474,0.64
CUS_000200,investor,76622,28177,0.314,0.307
CUS_000201,upsizer,83541,42586,0.429,0.589
CUS_000202,premium,111108,30372,0.397,0.431
CUS_000203,first_home,48935,34437,0.88,0.626
CUS_000204,investor,70116,32975,0.6,0.125
CUS_000205,first_home,23606,2349,0.44,0.782
CUS_000206,first_home,53020,25424,1.0,0.728
CUS_000207,investor,87405,22947,0.997,0.465
CUS_000208,investor,100890,42883,0.975,0.719
CUS_000209,first_home,24542,9880,0.454,0.839
CUS_000210,first_home,41139,22709,0.809,0.555
CUS_000211,investor,65662,36110,1.0,0.388
CUS_000212,first_home,20032,9412,0.467,0.638
CUS_000213,premium,173275,134068,0.509,0.244
CUS_000214,first_home,48883,14642,0.456,0.851
CUS_000215,investor,90898,61431,0.613,0.627
CUS_000216,first_home,34046,23179,0.999,0.968
CUS_000217,upsizer,65633,32208,0.577,0.637
CUS_000218,upsizer,113322,58086,0.426,0.575
CUS_000219,first_home,49229,29593,0.537,0.734
CUS_000220,investor,67429,25162,0.844,0.187
CUS_000221,premium,215291,72961,0.0,0.262
CUS_000222,first_home,37866,13188,0.653,0.586
CUS_000223,investor,43669,21076,0.506,0.385
CUS_000224,premium,161860,55933,0.404,0.384
CUS_000225,first_home,52345,15704,0.138,0.331
CUS_000226,upsizer,61954,15089,0.708,0.561
CUS_000227,first_home,32948,8333,0.49,0.787
CUS_000228,upsizer,56755,17869,0.67,0.889
CUS_000229,upsizer,41453,13222,0.289,0.329
CUS_000230,first_home,46890,21068,0.104,0.712
CUS_000231,first_home,56868,16507,0.267,0.799
CUS_000232,investor,57227,29672,0.506,0.43
CUS_000233,upsizer,87633,68722,0.124,0.394
CUS_000234,first_home,37260,24402,0.595,0.868
CUS_000235,first_home,35167,8405,0.96,0.665
CUS_000236,premium,116674,43887,0.0,0.143
CUS_000237,first_home,26196,5273,0.389,0.75
CUS_000238,investor,85183,39620,0.518,0.267
CUS_000239,investor,20421,9711,0.513,0.601
CUS_000240,upsizer,67956,31349,0.875,0.653
CUS_000241,first_home,26365,6357,0.457,0.801
CUS_000242,upsizer,53538,16762,0.49,0.727
CUS_000243,investor,78950,47532,0.472,0.756
CUS_000244,upsizer,114144,57236,0.675,0.749
CUS_000245,first_home,58772,16089,0.955,0.53
CUS_000246,investor,71444,14210,0.561,0.25
CUS_000247,premium,73561,30668,0.928,0.365
CUS_000248,premium,154750,63128,0.583,0.392
CUS_000249,first_home,50056,9935,0.257,1.0
CUS_000250,first_home,59456,22267,0.827,0.661
CUS_000251,first_home,44379,15212,0.555,0.696
CUS_000252,first_home,23569,7643,0.903,0.769
CUS_000253,investor,48195,17011,0.758,0.278
CUS_000254,upsizer,62700,30057,0.784,0.393
CUS_000255,investor,52456,23402,0.377,0.455
CUS_000256,first_home,40686,26687,0.329,0.649
CUS_000257,first_home,41887,19503,0.55,0.659
CUS_000258,first_home,20450,11756,0.234,0.821
CUS_000259,first_home,50975,9775,0.3,0.555
CUS_000260,premium,102280,46775,0.38,0.228
CUS_000261,first_home,16000,5807,0.266,0.721
CUS_000262,first_home,23032,12905,0.534,0.828
CUS_000263,investor,61462,29240,0.565,0.394
CUS_000264,first_home,47980,34235,0.434,0.718
CUS_000265,first_home,29987,7865,0.26,0.728
CUS_000266,first_home,43816,13231,0.36,0.735
CUS_000267,first_home,36819,18093,0.615,0.697
CUS_000268,investor,100333,40800,0.5,0.359
CUS_000269,first_home,44951,11695,0.584,0.81
CUS_000270,investor,74888,37233,0.345,0.255
CUS_000271,first_home,38772,13216,0.66,0.617
CUS_000272,first_home,42925,21939,0.747,0.915
CUS_000273,investor,50591,6274,0.246,0.52
CUS_000274,first_home,36484,13761,0.45,0.836
CUS_000275,first_home,33825,15500,0.162,0.473
CUS_000276,first_home,61565,28349,0.757,0.968
CUS_000277,first_home,33688,18724,1.0,0.802
CUS_000278,first_home,55404,21386,0.776,1.0
CUS_000279,upsizer,75502,38549,0.524,0.798
CUS_000280,first_home,48722,20341,0.598,0.453
CUS_000281,first_home,60405,33947,0.697,0.953
CUS_000282,first_home,34950,5355,0.256,0.766
CUS_000283,first_home,30991,1500,0.573,0.83
CUS_000284,investor,65454,42915,0.554,0.426
CUS_000285,investor,65677,21520,0.506,0.57
CUS_000286,upsizer,76727,9468,0.458,0.612
CUS_000287,first_home,38520,15449,0.581,0.839
CUS_000288,first_home,33960,11433,0.318,0.623
CUS_000289,investor,27304,13555,0.379,0.481
CUS_000290,first_home,36595,18978,0.626,0.936
CUS_000291,first_home,31559,11199,0.549,0.569
CUS_000292,first_home,48966,29243,0.563,0.712
CUS_000293,first_home,49157,10423,0.792,0.904
CUS_000294,premium,82557,1500,0.535,0.202
CUS_000295,upsizer,66071,30166,0.509,0.612
CUS_000296,investor,40325,15467,0.716,0.373
CUS_000297,first_home,35541,3163,0.983,0.674
CUS_000298,investor,115418,62288,0.447,0.359
CUS_000299,investor,52114,6478,0.669,0.375
CUS_000300,premium,85422,35002,0.497,0.2
CUS_000301,first_home,24829,14104,0.332,0.747
CUS_000302,upsizer,71815,34200,0.554,0.702
CUS_000303,first_home,39790,18545,0.706,0.86
CUS_000304,investor,122072,42071,0.359,0.325
CUS_000305,premium,141579,65173,0.828,0.261
CUS_000306,upsizer,59420,30990,0.466,0.894
CUS_000307,upsizer,81338,25538,0.453,0.432
CUS_000308,first_home,52791,11954,0.74,0.687
CUS_000309,investor,88457,50588,0.624,0.388
CUS_000310,first_home,70368,53713,0.384,0.638
CUS_000311,investor,50827,35531,0.246,0.565
CUS_000312,first_home,33482,1500,0.971,0.572
CUS_000313,first_home,39742,26041,0.602,1.0
CUS_000314,upsizer,57669,18213,1.0,0.441
CUS_000315,premium,136918,103253,0.442,0.196
CUS_000316,first_home,56372,13702,0.64,0.722
CUS_000317,first_home,36961,8387,0.264,0.56
CUS_000318,first_home,41726,17566,0.318,0.534
CUS_000319,first_home,29308,10483,0.456,0.686
CUS_000320,first_home,23115,8475,0.959,0.923
CUS_000321,upsizer,107870,64696,0.616,0.719
CUS_000322,first_home,54636,35655,0.821,0.913
CUS_000323,first_home,30576,7953,1.0,0.714
CUS_000324,investor,44990,32630,0.788,0.268
CUS_000325,first_home,32126,6698,0.778,0.75
CUS_000326,first_home,26181,8410,0.592,0.848
CUS_000327,first_home,42044,37251,0.908,0.894
CUS_000328,first_home,47149,23411,0.647,0.71
CUS_000329,first_home,41257,12861,0.833,0.811
CUS_000330,investor,52743,25185,0.483,0.572
CUS_000331,first_home,58236,32437,0.727,0.854
CUS_000332,premium,44221,21700,0.663,0.266
CUS_000333,upsizer,91418,60380,0.483,0.835
CUS_000334,premium,108283,29698,0.222,0.084
CUS_000335,upsizer,68195,21298,0.638,0.411
CUS_000336,upsizer,62514,16864,0.669,0.638
CUS_000337,premium,91350,25622,0.32,0.158
CUS_000338,first_home,51623,22592,0.596,0.622
CUS_000339,first_home,63650,15182,0.632,0.719
CUS_000340,investor,49301,23778,0.827,0.304
CUS_000341,premium,115495,62817,0.635,0.326
CUS_000342,premium,107350,22536,0.729,0.206
CUS_000343,investor,52000,16463,0.525,0.449
CUS_000344,premium,101832,34431,0.486,0.202
CUS_000345,investor,62901,24564,0.528,0.338
CUS_000346,investor,96151,38496,0.452,0.376
CUS_000347,first_home,37942,22498,0.503,0.396
CUS_000348,first_home,55312,33538,0.685,0.719
CUS_000349,first_home,37605,10698,0.691,0.592
CUS_000350,first_home,34596,19183,0.667,0.834
CUS_000351,investor,61637,41758,0.635,0.573
CUS_000352,first_home,39259,25428,0.878,0.98
CUS_000353,upsizer,81759,38171,0.876,0.63
CUS_000354,first_home,39403,16558,0.597,0.75
CUS_000355,investor,33664,5970,0.934,0.218
CUS_000356,first_home,42673,15176,0.901,0.841
CUS_000357,premium,81898,13193,0.597,0.322
CUS_000358,first_home,36185,22985,0.413,0.6
CUS_000359,investor,59318,22690,0.474,0.596
CUS_000360,investor,52496,21757,0.581,0.382
CUS_000361,first_home,49591,15812,0.486,0.885
CUS_000362,investor,67311,11857,0.325,0.375
CUS_000363,investor,84985,47444,0.312,0.545
CUS_000364,premium,138054,71838,0.459,0.41
CUS_000365,first_home,50486,30193,0.42,0.732
CUS_000366,upsizer,78347,8979,0.105,0.445
CUS_000367,first_home,54041,36066,0.762,0.847
CUS_000368,first_home,40257,16400,0.809,1.0
CUS_000369,first_home,57483,32761,0.703,0.878
CUS_000370,first_home,31114,1500,0.055,0.908
CUS_000371,first_home,21063,10612,0.514,1.0
CUS_000372,premium,126410,52684,0.669,0.574
CUS_000373,investor,98456,38425,0.859,0.293
CUS_000374,upsizer,95723,39467,1.0,0.467
CUS_000375,first_home,21362,6893,0.563,0.871
CUS_000376,investor,64313,11306,0.597,0.568
CUS_000377,first_home,47831,9682,0.677,0.628
CUS_000378,first_home,21629,9405,0.419,0.969
CUS_000379,first_home,45588,30364,0.376,0.798
CUS_000380,investor,41296,25985,0.772,0.355
CUS_000381,investor,40657,19168,0.723,0.19
CUS_000382,first_home,27015,9240,0.512,0.951
CUS_000383,first_home,41475,33236,0.184,0.876
CUS_000384,first_home,29950,16549,0.047,0.714
CUS_000385,first_home,38940,20912,0.543,0.868
CUS_000386,investor,101247,19253,0.551,0.793
CUS_000387,first_home,46352,22063,0.501,0.862
CUS_000388,premium,97199,20139,0.776,0.382
CUS_000389,upsizer,87605,70496,0.612,0.207
CUS_000390,first_home,26399,7355,0.086,0.498
CUS_000391,upsizer,64331,20636,1.0,0.651
CUS_000392,investor,70793,22168,0.0,0.882
CUS_000393,first_home,36821,13380,0.428,0.639
CUS_000394,premium,63025,34706,0.32,0.412
CUS_000395,first_home,68702,29579,0.677,0.827
CUS_000396,investor,54913,24031,0.251,0.331
CUS_000397,investor,60580,33891,0.719,0.368
CUS_000398,upsizer,79161,12418,0.485,0.621
CUS_000399,investor,91935,51912,0.733,0.289
CUS_000400,premium,29243,13283,0.0,0.432
CUS_000401,first_home,34182,10374,0.512,0.677
CUS_000402,upsizer,93224,42297,0.728,0.442
CUS_000403,investor,68741,30960,0.288,0.697
CUS_000404,investor,71281,1500,0.635,0.371
CUS_000405,premium,118989,80611,0.627,0.0
CUS_000406,first_home,33567,21737,0.62,0.881
CUS_000407,first_home,55530,10823,0.473,0.665
CUS_000408,premium,43487,12783,0.735,0.284
CUS_000409,upsizer,94102,63392,0.644,0.567
CUS_000410,investor,57423,31560,0.63,0.385
CUS_000411,first_home,19799,9899,0.421,0.692
CUS_000412,first_home,44102,22424,0.324,0.742
CUS_000413,first_home,30403,15120,0.675,0.767
CUS_000414,first_home,33768,8048,0.391,0.709
CUS_000415,upsizer,84425,27722,0.906,0.45
CUS_000416,investor,58508,35662,1.0,0.352
CUS_000417,first_home,19169,10507,0.39,0.754
CUS_000418,first_home,43665,21008,0.363,0.751
CUS_000419,upsizer,99584,31207,0.666,0.591
CUS_000420,investor,48407,29434,0.633,0.48
CUS_000421,first_home,48110,12317,0.552,0.923
CUS_000422,first_home,44423,30943,0.698,0.767
CUS_000423,first_home,35798,10719,0.73,0.818
CUS_000424,first_home,75611,20651,0.375,0.896
CUS_000425,investor,34816,15160,0.355,0.295
CUS_000426,first_home,68338,32001,0.112,0.883
CUS_000427,first_home,34021,15223,0.155,0.435
CUS_000428,first_home,41996,8059,0.331,0.659
CUS_000429,first_home,24141,12212,0.48,0.603
CUS_000430,investor,111644,67688,0.752,0.383
CUS_000431,investor,69144,28723,0.707,0.609
CUS_000432,first_home,74946,11369,0.673,0.588
CUS_000433,first_home,30690,12030,0.513,0.621
CUS_000434,investor,45147,10207,1.0,0.638
CUS_000435,upsizer,69169,5692,0.275,0.488
CUS_000436,first_home,45405,15044,0.5,0.785
CUS_000437,first_home,28197,20368,0.642,0.698
CUS_000438,upsizer,81484,33828,0.3,0.658
CUS_000439,first_home,17540,6680,0.488,0.753
CUS_000440,upsizer,55816,31134,0.214,0.671
CUS_000441,premium,212279,114630,0.479,0.383
CUS_000442,first_home,33114,5502,0.914,0.918
CUS_000443,first_home,35553,27249,0.6,0.715
CUS_000444,upsizer,91365,42539,1.0,0.802
CUS_000445,first_home,32997,19574,0.901,0.842
CUS_000446,first_home,50654,16356,0.206,0.753
CUS_000447,first_home,65093,5082,0.284,0.847
CUS_000448,investor,99889,40851,0.904,0.264
CUS_000449,premium,173420,40162,0.537,0.25
CUS_000450,investor,60937,39049,0.206,0.483
CUS_000451,first_home,34749,6079,0.789,0.85
CUS_000452,investor,109850,47761,0.93,0.45
CUS_000453,investor,78306,42120,0.918,0.16
CUS_000454,first_home,20066,10164,0.68,0.58
CUS_000455,investor,57769,19631,0.846,0.604
CUS_000456,investor,41628,4562,0.685,0.249
CUS_000457,first_home,56940,9039,0.329,0.931
CUS_000458,upsizer,65763,19315,0.828,0.46
CUS_000459,first_home,42612,7507,0.509,0.692
CUS_000460,first_home,24783,10320,1.0,0.903
CUS_000461,first_home,38385,11237,0.478,0.86
CUS_000462,first_home,43764,8634,0.504,0.598
CUS_000463,first_home,31367,5455,0.3,0.841
CUS_000464,first_home,43108,6184,0.734,0.664
CUS_000465,premium,147291,61839,1.0,0.235
CUS_000466,investor,48055,14316,0.753,0.313
CUS_000467,first_home,55770,24239,0.581,0.733
CUS_000468,investor,90565,37681,0.453,0.353
CUS_000469,investor,22918,9016,0.403,0.353
CUS_000470,first_home,21397,11694,0.855,0.669
CUS_000471,upsizer,70138,11559,0.409,0.623
CUS_000472,first_home,33277,18219,0.06,0.821
CUS_000473,first_home,50487,25277,1.0,0.641
CUS_000474,first_home,23266,9176,0.631,0.912
CUS_000475,first_home,44168,12569,0.471,0.809
CUS_000476,first_home,16000,6994,0.401,0.845
CUS_000477,first_home,46390,23694,0.693,0.613
CUS_000478,investor,52765,9391,0.285,0.353
CUS_000479,upsizer,55631,30028,0.412,0.599
CUS_000480,premium,88558,65798,0.664,0.224
CUS_000481,investor,57754,24159,0.35,0.174
CUS_000482,investor,38872,25834,0.279,0.499
CUS_000483,investor,74155,38226,0.434,0.51
CUS_000484,first_home,45919,21923,0.493,0.906
CUS_000485,first_home,42646,12959,0.502,0.602
CUS_000486,first_home,27759,10232,0.496,0.969
CUS_000487,first_home,61052,15474,0.628,0.659
CUS_000488,investor,96236,57721,0.394,0.286
CUS_000489,first_home,31532,9333,0.632,0.793
CUS_000490,first_home,44091,32943,0.421,0.717
CUS_000491,first_home,42072,21410,0.532,0.718
CUS_000492,premium,148643,74459,0.408,0.236
CUS_000493,first_home,35487,6805,0.126,1.0
CUS_000494,first_home,50818,27939,0.633,0.833
CUS_000495,first_home,59734,23317,0.817,0.533
CUS_000496,first_home,16000,5255,0.622,0.57
CUS_000497,investor,52436,16357,0.264,0.308
CUS_000498,first_home,39239,8106,0.242,0.759
CUS_000499,first_home,41840,18066,0.764,0.506
CUS_000500,upsizer,66253,26498,0.66,0.58
CUS_000501,first_home,16000,3097,0.598,0.37
CUS_000502,investor,50887,26597,0.765,0.265
CUS_000503,investor,37662,30624,0.722,0.286
CUS_000504,first_home,30737,5338,0.591,0.665
CUS_000505,first_home,22273,9123,0.895,0.88
CUS_000506,first_home,58679,42748,0.973,0.832
CUS_000507,first_home,17923,5199,0.868,0.78
CUS_000508,first_home,44024,22414,0.744,0.75
CUS_000509,investor,74863,37480,0.588,0.336
CUS_000510,first_home,43759,24001,0.572,0.731
CUS_000511,first_home,45776,34784,0.74,0.548
CUS_000512,investor,25198,2717,0.426,0.458
CUS_000513,first_home,44553,20688,0.546,1.0
CUS_000514,investor,113282,38496,0.416,0.544
CUS_000515,first_home,32053,13553,0.543,0.775
CUS_000516,investor,111874,49013,0.363,0.489
CUS_000517,premium,134646,50769,0.508,0.366
CUS_000518,first_home,45924,10760,0.466,0.684
CUS_000519,premium,82132,20249,0.817,0.294
CUS_000520,first_home,43354,35230,0.839,0.796
CUS_000521,first_home,44482,8065,0.698,1.0
CUS_000522,first_home,29466,19176,0.206,0.865
CUS_000523,first_home,24192,5896,0.704,0.704
CUS_000524,upsizer,99409,44452,0.77,0.561
CUS_000525,first_home,46676,36607,0.482,0.733
CUS_000526,first_home,43148,24727,0.744,0.53
CUS_000527,upsizer,92689,15863,0.785,0.337
CUS_000528,first_home,40268,14872,0.172,0.832
CUS_000529,investor,95635,40678,0.791,0.0
CUS_000530,first_home,41635,25626,0.509,0.686
CUS_000531,upsizer,83230,36497,0.231,0.634
CUS_000532,first_home,40868,16405,0.598,0.658
CUS_000533,investor,77994,57684,0.467,0.483
CUS_000534,investor,80318,57384,0.765,0.461
CUS_000535,upsizer,95524,53089,0.707,0.516
CUS_000536,upsizer,27093,8596,0.691,0.657
CUS_000537,premium,126876,1500,0.373,0.503
CUS_000538,first_home,28897,5773,0.466,0.544
CUS_000539,first_home,28935,4401,0.487,0.689
CUS_000540,premium,108906,45630,0.716,0.29
CUS_000541,investor,33866,20280,0.89,0.199
CUS_000542,upsizer,76635,60208,0.692,0.551
CUS_000543,premium,112655,74268,0.361,0.119
CUS_000544,first_home,53054,16036,0.458,0.947
CUS_000545,first_home,20472,9739,0.659,0.942
CUS_000546,first_home,40189,20192,0.839,0.693
CUS_000547,investor,55038,8217,0.534,0.517
CUS_000548,first_home,39450,10760,0.722,0.832
CUS_000549,first_home,40699,14345,0.186,0.903
CUS_000550,investor,74362,60485,0.429,0.269
CUS_000551,first_home,55707,27829,0.734,0.816
CUS_000552,first_home,53928,10428,0.0,0.797
CUS_000553,first_home,64719,22880,0.821,0.712
CUS_000554,first_home,38873,19856,0.653,0.653
CUS_000555,first_home,34072,13111,0.581,0.765
CUS_000556,investor,60411,22104,0.071,0.692
CUS_000557,premium,102695,57690,0.787,0.354
CUS_000558,investor,71751,48953,1.0,0.414
CUS_000559,upsizer,83571,54230,0.5,0.753
CUS_000560,first_home,47106,17710,0.443,0.768
CUS_000561,first_home,31026,12420,0.49,0.649
