period,city,sale_price_eur_m2,rent_price_eur_m2_month,demand_index,absorption_units_month,inventory_index
2025-11,Sevilla,3506.03,15.21,93.43,8.76,104.16
2025-12,Sevilla,3540.25,15.02,95.93,6.54,101.9
2021-01,Valencia,3214.01,13.58,104.38,9.87,96.82
2021-02,Valencia,3112.6,13.48,104.43,10.59,94.93
2021-03,Valencia,3257.62,13.35,104.17,9.47,99.04
2021-04,Valencia,3216.83,13.85,114.19,10.16,92.35
2021-05,Valencia,3245.11,14.24,111.41,10.47,91.36
2021-06,Valencia,3252.35,13.7,107.77,9.54,96.74
2021-07,Valencia,3214.89,13.88,111.21,9.94,95.45
2021-08,Valencia,3273.39,14.15,115.2,9.16,88.57
2021-09,Valencia,3290.74,13.69,113.33,9.23,96.93
2021-10,Valencia,3364.9,13.75,108.72,8.95,96.61
2021-11,Valencia,3230.47,14.04,116.28,7.44,90.48
2021-12,Valencia,3267.85,14.05,116.18,7.9,92.84
2022-01,Valencia,3416.5,13.9,109.91,8.43,97.71
2022-02,Valencia,3339.92,14.7,112.56,6.04,94.56
2022-03,Valencia,3303.68,14.64,113.59,6.08,96.85
2022-04,Valencia,3386.5,14.24,107.58,8.22,92.25
2022-05,Valencia,3373.72,14.67,105.48,7.39,97.76
2022-06,Valencia,3325.86,14.22,106.45,6.15,93.74
2022-07,Valencia,3379.87,14.35,96.47,6.53,103.28
2022-08,Valencia,3385.77,14.26,100.83,7.14,104.5
2022-09,Valencia,3464.37,14.33,99.99,6.39,97.47
2022-10,Valencia,3419.91,15.17,99.1,5.28,100.43
2022-11,Valencia,3440.61,14.24,85.46,6.15,106.91
2022-12,Valencia,3340.22,14.87,94.74,5.83,102.5
2023-01,Valencia,3465.97,14.94,82.13,5.29,107.17
2023-02,Valencia,3408.43,15.27,90.09,5.17,103.99
2023-03,Valencia,3514.19,14.75,90.06,7.25,107.15
2023-04,Valencia,3479.66,15.32,84.04,8.25,107.71
2023-05,Valencia,3536.53,14.94,88.01,6.85,103.35
2023-06,Valencia,3446.89,15.04,90.71,5.13,103.38
2023-07,Valencia,3565.87,14.81,91.97,5.9,101.59
2023-08,Valencia,3507.15,15.71,85.45,5.64,103.47
2023-09,Valencia,3569.4,14.89,94.15,7.33,102.56
2023-10,Valencia,3549.91,15.1,91.64,6.57,106.73
2023-11,Valencia,3497.51,15.49,88.9,7.37,104.17
2023-12,Valencia,3699.5,15.42,91.9,7.71,100.33
2024-01,Valencia,3560.3,15.98,98.82,9.06,98.53
2024-02,Valencia,3569.15,15.59,96.93,8.92,102.74
2024-03,Valencia,3615.52,15.55,106.56,8.65,96.28
2024-04,Valencia,3669.17,15.34,97.68,8.39,101.89
2024-05,Valencia,3672.41,15.52,113.93,9.33,93.48
2024-06,Valencia,3581.42,16.28,108.05,8.43,101.79
2024-07,Valencia,3651.52,16.02,117.11,10.16,94.45
2024-08,Valencia,3646.12,16.06,111.68,9.78,95.01
2024-09,Valencia,3635.38,16.05,114.92,10.56,94.69
2024-10,Valencia,3760.49,16.26,112.81,10.33,97.34
2024-11,Valencia,3630.55,16.57,110.88,10.72,95.12
2024-12,Valencia,3684.21,15.73,117.54,8.96,88.93
2025-01,Valencia,3752.74,16.62,110.78,10.75,96.9
2025-02,Valencia,3703.84,16.55,111.95,10.29,91.87
2025-03,Valencia,3661.22,16.56,113.59,9.64,98.08
2025-04,Valencia,3820.26,16.42,104.03,9.52,96.35
2025-05,Valencia,3744.81,16.1,103.25,7.63,98.91
2025-06,Valencia,3641.67,16.32,108.76,8.66,93.67
2025-07,Valencia,3758.87,16.24,104.51,8.19,97.74
2025-08,Valencia,3756.36,16.52,107.98,8.93,97.52
2025-09,Valencia,3753.86,16.64,97.97,8.54,102.34
2025-10,Valencia,3770.58,16.52,94.78,7.85,102.73
2025-11,Valencia,3787.86,17.09,105.19,7.52,98.31
2025-12,Valencia,3865.51,16.67,88.41,9.1,106.73
