lead_id,customer_id,project_id,lead_date,channel,visits,lead_score
LEAD_0000073,CUS_005428,PRJ_0019,2023-08-06,web,4,97
LEAD_0000074,CUS_004423,PRJ_0003,2021-02-26,web,1,55
LEAD_0000075,CUS_000335,PRJ_0008,2025-02-06,campaign,0,66
LEAD_0000076,CUS_006133,PRJ_0007,2021-07-31,web,0,53
LEAD_0000077,CUS_003797,PRJ_0009,2024-07-22,web,0,59
LEAD_0000078,CUS_004782,PRJ_0020,2022-07-04,agency,2,61
LEAD_0000079,CUS_002385,PRJ_0008,2023-07-19,campaign,1,53
LEAD_0000080,CUS_002654,PRJ_0023,2024-11-06,web,2,72
LEAD_0000081,CUS_002275,PRJ_0006,2025-10-11,web,2,52
LEAD_0000082,CUS_003262,PRJ_0014,2021-11-05,web,3,56
LEAD_0000083,CUS_005182,PRJ_0028,2025-03-13,referral,4,81
LEAD_0000084,CUS_004988,PRJ_0016,2022-02-04,web,4,70
LEAD_0000085,CUS_003591,PRJ_0001,2021-04-18,walk_in,0,46
LEAD_0000086,CUS_000194,PRJ_0013,2025-03-21,web,1,68
LEAD_0000087,CUS_000440,PRJ_0018,2022-07-20,walk_in,0,56
LEAD_0000088,CUS_005675,PRJ_0005,2025-02-07,web,3,55
LEAD_0000089,CUS_006372,PRJ_0008,2025-06-15,web,3,61
LEAD_0000090,CUS_000962,PRJ_0013,2024-02-10,web,2,55
LEAD_0000091,CUS_003384,PRJ_0006,2022-10-02,walk_in,1,60
LEAD_0000092,CUS_005778,PRJ_0013,2021-09-18,agency,2,71
LEAD_0000093,CUS_000169,PRJ_0006,2021-11-16,agency,1,43
LEAD_0000094,CUS_006456,PRJ_0021,2024-02-20,web,2,58
LEAD_0000095,CUS_001079,PRJ_0006,2023-06-17,agency,3,82
LEAD_0000096,CUS_000332,PRJ_0002,2024-05-09,web,1,77
LEAD_0000097,CUS_003306,PRJ_0028,2021-05-12,web,3,56
LEAD_0000098,CUS_006254,PRJ_0008,2022-04-21,web,5,69
LEAD_0000099,CUS_005047,PRJ_0005,2021-12-11,agency,3,97
LEAD_0000100,CUS_001476,PRJ_0016,2025-08-14,campaign,2,73
LEAD_0000101,CUS_004045,PRJ_0021,2022-03-30,agency,2,55
LEAD_0000102,CUS_003027,PRJ_0007,2021-04-02,web,4,54
LEAD_0000103,CUS_002960,PRJ_0021,2021-07-07,web,0,64
LEAD_0000104,CUS_000537,PRJ_0013,2023-08-17,web,4,73
LEAD_0000105,CUS_002050,PRJ_0005,2021-02-10,referral,3,78
LEAD_0000106,CUS_001510,PRJ_0014,2022-05-12,web,1,90
LEAD_0000107,CUS_006397,PRJ_0027,2023-12-01,web,0,59
LEAD_0000108,CUS_001590,PRJ_0005,2021-06-18,campaign,0,52
LEAD_0000109,CUS_005571,PRJ_0011,2023-06-23,campaign,1,58
LEAD_0000110,CUS_001210,PRJ_0009,2024-12-09,referral,0,71
LEAD_0000111,CUS_000307,PRJ_0026,2024-11-07,agency,0,51
LEAD_0000112,CUS_005499,PRJ_0017,2022-01-01,web,1,63
LEAD_0000113,CUS_003246,PRJ_0020,2021-12-08,web,1,50
LEAD_0000114,CUS_006346,PRJ_0022,2025-04-12,web,2,83
LEAD_0000115,CUS_001105,PRJ_0016,2024-08-23,web,0,52
LEAD_0000116,CUS_001983,PRJ_0014,2022-12-02,campaign,2,79
LEAD_0000117,CUS_006396,PRJ_0014,2025-01-24,referral,1,77
LEAD_0000118,CUS_004804,PRJ_0001,2021-04-25,referral,2,89
LEAD_0000119,CUS_001288,PRJ_0026,2021-12-12,web,1,59
LEAD_0000120,CUS_000987,PRJ_0019,2024-02-03,agency,3,57
LEAD_0000121,CUS_002790,PRJ_0023,2023-12-24,agency,1,57
LEAD_0000122,CUS_006146,PRJ_0011,2024-03-07,agency,1,52
LEAD_0000123,CUS_000675,PRJ_0028,2024-07-15,referral,1,70
LEAD_0000124,CUS_004533,PRJ_0013,2022-11-07,web,1,45
LEAD_0000125,CUS_000948,PRJ_0004,2022-04-12,web,0,39
LEAD_0000126,CUS_004549,PRJ_0026,2024-02-12,campaign,3,59
LEAD_0000127,CUS_005416,PRJ_0018,2025-10-30,referral,4,57
LEAD_0000128,CUS_001604,PRJ_0012,2023-02-28,web,2,56
LEAD_0000129,CUS_004456,PRJ_0010,2021-04-29,web,0,45
LEAD_0000130,CUS_003413,PRJ_0026,2024-11-09,web,0,63
LEAD_0000131,CUS_000392,PRJ_0015,2023-01-28,walk_in,3,47
LEAD_0000132,CUS_002647,PRJ_0008,2022-01-16,referral,2,78
LEAD_0000133,CUS_004930,PRJ_0012,2021-06-03,referral,1,64
LEAD_0000134,CUS_005642,PRJ_0020,2025-05-22,web,3,51
LEAD_0000135,CUS_005376,PRJ_0026,2025-09-23,campaign,1,62
LEAD_0000136,CUS_004267,PRJ_0013,2024-09-14,referral,2,95
LEAD_0000137,CUS_004596,PRJ_0016,2022-08-10,web,4,71
LEAD_0000138,CUS_001819,PRJ_0027,2024-05-19,web,1,56
LEAD_0000139,CUS_004348,PRJ_0013,2022-10-03,web,2,52
LEAD_0000140,CUS_000676,PRJ_0021,2021-11-28,web,1,97
LEAD_0000141,CUS_001360,PRJ_0022,2025-01-25,referral,1,65
LEAD_0000142,CUS_005247,PRJ_0008,2024-09-22,agency,0,77
LEAD_0000143,CUS_001717,PRJ_0005,2025-05-06,campaign,3,57
LEAD_0000144,CUS_000428,PRJ_0013,2025-05-23,web,1,48
LEAD_0000145,CUS_001149,PRJ_0017,2024-11-11,referral,0,64
LEAD_0000146,CUS_003003,PRJ_0026,2024-05-22,web,3,76
LEAD_0000147,CUS_003402,PRJ_0011,2021-03-30,walk_in,1,59
LEAD_0000148,CUS_004215,PRJ_0019,2021-09-19,walk_in,2,43
LEAD_0000149,CUS_003694,PRJ_0013,2022-04-23,web,3,65
LEAD_0000150,CUS_003906,PRJ_0025,2021-05-20,agency,2,65
LEAD_0000151,CUS_001020,PRJ_0010,2022-01-14,web,0,64
LEAD_0000152,CUS_000777,PRJ_0009,2021-10-25,campaign,2,67
LEAD_0000153,CUS_002138,PRJ_0013,2025-12-13,campaign,2,48
LEAD_0000154,CUS_004209,PRJ_0022,2024-12-30,web,2,57
LEAD_0000155,CUS_003397,PRJ_0006,2021-04-15,walk_in,2,67
LEAD_0000156,CUS_001562,PRJ_0004,2021-04-14,campaign,1,57
LEAD_0000157,CUS_005049,PRJ_0016,2024-08-24,referral,2,57
LEAD_0000158,CUS_003620,PRJ_0024,2022-03-17,web,4,76
LEAD_0000159,CUS_005232,PRJ_0025,2025-07-11,referral,3,64
LEAD_0000160,CUS_001616,PRJ_0016,2025-10-19,referral,4,86
LEAD_0000161,CUS_005039,PRJ_0016,2024-07-21,campaign,1,59
LEAD_0000162,CUS_002516,PRJ_0002,2022-07-26,referral,2,58
LEAD_0000163,CUS_000955,PRJ_0008,2025-03-11,web,0,49
LEAD_0000164,CUS_004850,PRJ_0008,2022-07-15,web,2,81
LEAD_0000165,CUS_005681,PRJ_0027,2023-08-23,web,3,78
LEAD_0000166,CUS_001649,PRJ_0014,2021-04-22,agency,1,73
LEAD_0000167,CUS_000206,PRJ_0010,2023-07-04,web,1,60
LEAD_0000168,CUS_005540,PRJ_0015,2022-05-26,web,1,65
LEAD_0000169,CUS_003581,PRJ_0022,2024-11-12,referral,2,70
LEAD_0000170,CUS_002950,PRJ_0021,2024-01-30,agency,3,81
LEAD_0000171,CUS_001776,PRJ_0015,2023-05-28,web,0,66
LEAD_0000172,CUS_006451,PRJ_0016,2024-04-03,referral,1,61
LEAD_0000173,CUS_001866,PRJ_0018,2022-07-19,agency,3,83
LEAD_0000174,CUS_003967,PRJ_0023,2021-07-11,agency,1,80
LEAD_0000175,CUS_001414,PRJ_0006,2022-10-27,web,6,74
LEAD_0000176,CUS_001040,PRJ_0023,2024-01-04,web,1,68
LEAD_0000177,CUS_003041,PRJ_0022,2021-10-04,referral,1,60
LEAD_0000178,CUS_004868,PRJ_0018,2023-07-07,web,2,51
LEAD_0000179,CUS_000324,PRJ_0016,2024-11-22,campaign,3,59
LEAD_0000180,CUS_003968,PRJ_0007,2025-08-24,agency,1,84
LEAD_0000181,CUS_001388,PRJ_0015,2022-09-08,web,3,52
LEAD_0000182,CUS_000770,PRJ_0019,2023-09-13,agency,2,61
LEAD_0000183,CUS_006299,PRJ_0004,2022-09-24,web,2,53
LEAD_0000184,CUS_000445,PRJ_0013,2024-01-07,web,3,73
LEAD_0000185,CUS_001087,PRJ_0008,2021-05-07,campaign,1,73
LEAD_0000186,CUS_005361,PRJ_0003,2021-04-11,web,2,64
LEAD_0000187,CUS_000709,PRJ_0026,2023-11-14,walk_in,1,55
LEAD_0000188,CUS_003169,PRJ_0014,2022-09-27,agency,1,62
LEAD_0000189,CUS_001962,PRJ_0009,2023-02-10,agency,4,82
LEAD_0000190,CUS_004510,PRJ_0023,2023-06-06,agency,1,77
LEAD_0000191,CUS_005689,PRJ_0003,2023-03-14,campaign,2,55
LEAD_0000192,CUS_003257,PRJ_0013,2021-09-26,referral,4,80
LEAD_0000193,CUS_000976,PRJ_0017,2025-08-22,web,0,59
LEAD_0000194,CUS_005381,PRJ_0011,2021-11-25,campaign,2,42
LEAD_0000195,CUS_005398,PRJ_0018,2022-10-06,web,2,54
LEAD_0000196,CUS_001049,PRJ_0006,2023-03-18,web,3,55
LEAD_0000197,CUS_000259,PRJ_0009,2024-06-30,web,2,68
LEAD_0000198,CUS_000722,PRJ_0016,2021-07-11,campaign,1,52
LEAD_0000199,CUS_002734,PRJ_0002,2022-03-27,web,2,55
LEAD_0000200,CUS_002530,PRJ_0008,2025-03-23,web,1,80
LEAD_0000201,CUS_006134,PRJ_0014,2024-04-12,agency,5,68
LEAD_0000202,CUS_003378,PRJ_0018,2021-02-15,web,2,55
LEAD_0000203,CUS_006464,PRJ_0021,2024-08-26,web,6,82
LEAD_0000204,CUS_004028,PRJ_0001,2022-10-18,agency,1,63
LEAD_0000205,CUS_006429,PRJ_0003,2024-12-07,web,0,63
LEAD_0000206,CUS_001535,PRJ_0011,2021-07-12,agency,3,54
LEAD_0000207,CUS_004820,PRJ_0026,2022-11-27,agency,0,66
LEAD_0000208,CUS_004926,PRJ_0022,2023-05-24,referral,4,73
LEAD_0000209,CUS_005503,PRJ_0020,2025-07-02,referral,1,53
LEAD_0000210,CUS_004780,PRJ_0001,2025-09-29,campaign,2,63
LEAD_0000211,CUS_001930,PRJ_0014,2023-02-20,web,2,53
LEAD_0000212,CUS_003191,PRJ_0003,2023-08-31,referral,1,75
LEAD_0000213,CUS_002064,PRJ_0023,2023-01-31,web,1,72
LEAD_0000214,CUS_003069,PRJ_0028,2022-04-04,web,1,81
LEAD_0000215,CUS_003409,PRJ_0011,2022-10-04,campaign,2,67
LEAD_0000216,CUS_004667,PRJ_0001,2025-03-05,agency,2,61
LEAD_0000217,CUS_001184,PRJ_0019,2025-04-29,walk_in,3,53
LEAD_0000218,CUS_006484,PRJ_0022,2025-02-10,web,2,63
LEAD_0000219,CUS_002180,PRJ_0002,2021-01-04,campaign,2,96
LEAD_0000220,CUS_002461,PRJ_0011,2022-10-09,walk_in,1,65
LEAD_0000221,CUS_003542,PRJ_0023,2024-05-24,agency,1,73
LEAD_0000222,CUS_001783,PRJ_0009,2025-11-24,web,1,48
LEAD_0000223,CUS_002767,PRJ_0012,2021-03-02,agency,1,52
LEAD_0000224,CUS_003124,PRJ_0020,2021-03-06,web,0,63
LEAD_0000225,CUS_000295,PRJ_0003,2021-10-21,web,0,54
LEAD_0000226,CUS_001598,PRJ_0024,2025-09-17,walk_in,0,46
LEAD_0000227,CUS_000161,PRJ_0018,2023-01-21,campaign,1,45
LEAD_0000228,CUS_000390,PRJ_0013,2022-09-24,referral,3,75
LEAD_0000229,CUS_006344,PRJ_0012,2023-03-08,walk_in,0,57
LEAD_0000230,CUS_006196,PRJ_0001,2021-07-30,web,5,73
LEAD_0000231,CUS_003214,PRJ_0017,2025-03-22,walk_in,4,79
LEAD_0000232,CUS_002290,PRJ_0025,2023-06-03,web,2,75
LEAD_0000233,CUS_003937,PRJ_0011,2023-06-11,agency,3,64
LEAD_0000234,CUS_003319,PRJ_0026,2025-01-04,web,0,62
LEAD_0000235,CUS_005680,PRJ_0017,2021-11-26,agency,3,68
LEAD_0000236,CUS_000670,PRJ_0017,2022-05-01,campaign,1,69
LEAD_0000237,CUS_006276,PRJ_0019,2022-06-26,walk_in,0,61
LEAD_0000238,CUS_004783,PRJ_0007,2022-05-05,campaign,1,51
LEAD_0000239,CUS_006134,PRJ_0021,2022-09-23,campaign,1,51
LEAD_0000240,CUS_003125,PRJ_0028,2024-10-20,campaign,1,58
LEAD_0000241,CUS_004693,PRJ_0024,2025-03-19,web,2,62
LEAD_0000242,CUS_001156,PRJ_0013,2021-06-29,agency,2,69
LEAD_0000243,CUS_005013,PRJ_0022,2021-03-14,walk_in,5,69
LEAD_0000244,CUS_001718,PRJ_0026,2022-01-25,web,1,67
LEAD_0000245,CUS_000059,PRJ_0024,2025-06-20,web,3,61
LEAD_0000246,CUS_004004,PRJ_0007,2022-03-08,campaign,0,35
LEAD_0000247,CUS_001775,PRJ_0002,2025-01-28,walk_in,3,100
LEAD_0000248,CUS_005605,PRJ_0026,2021-06-22,web,6,75
LEAD_0000249,CUS_001346,PRJ_0006,2021-12-05,referral,4,76
LEAD_0000250,CUS_000703,PRJ_0022,2023-02-05,web,0,60
LEAD_0000251,CUS_001965,PRJ_0005,2024-02-17,agency,3,66
LEAD_0000252,CUS_001225,PRJ_0013,2023-05-13,web,3,60
LEAD_0000253,CUS_005798,PRJ_0008,2022-01-15,agency,2,53
LEAD_0000254,CUS_005611,PRJ_0002,2021-09-20,web,0,45
LEAD_0000255,CUS_003927,PRJ_0020,2022-07-26,campaign,1,68
LEAD_0000256,CUS_004760,PRJ_0011,2024-05-23,campaign,1,53
LEAD_0000257,CUS_001455,PRJ_0022,2021-04-15,walk_in,1,40
LEAD_0000258,CUS_006026,PRJ_0025,2025-12-19,agency,4,48
LEAD_0000259,CUS_004984,PRJ_0006,2021-12-14,web,2,63
LEAD_0000260,CUS_001024,PRJ_0019,2024-04-20,web,4,85
LEAD_0000261,CUS_003294,PRJ_0016,2024-05-12,campaign,3,68
LEAD_0000262,CUS_004263,PRJ_0009,2024-01-14,referral,2,67
LEAD_0000263,CUS_000727,PRJ_0011,2023-02-14,campaign,0,52
LEAD_0000264,CUS_001508,PRJ_0017,2022-10-14,walk_in,2,60
LEAD_0000265,CUS_000430,PRJ_0028,2021-03-25,agency,1,86
LEAD_0000266,CUS_001967,PRJ_0027,2023-01-13,web,3,64
LEAD_0000267,CUS_000712,PRJ_0010,2022-06-15,agency,2,47
LEAD_0000268,CUS_003503,PRJ_0012,2023-02-05,agency,2,70
LEAD_0000269,CUS_000905,PRJ_0028,2024-05-11,web,1,64
LEAD_0000270,CUS_002487,PRJ_0007,2022-09-28,referral,0,74
LEAD_0000271,CUS_001609,PRJ_0021,2023-08-25,web,2,67
LEAD_0000272,CUS_003691,PRJ_0024,2025-10-02,campaign,1,45
LEAD_0000273,CUS_002660,PRJ_0002,2021-09-15,web,3,57
LEAD_0000274,CUS_002495,PRJ_0016,2025-04-02,web,4,65
LEAD_0000275,CUS_003085,PRJ_0004,2022-05-12,agency,5,84
LEAD_0000276,CUS_004892,PRJ_0016,2023-05-13,campaign,1,32
LEAD_0000277,CUS_004793,PRJ_0014,2021-11-29,agency,3,100
LEAD_0000278,CUS_001534,PRJ_0026,2022-01-22,campaign,3,47
LEAD_0000279,CUS_005534,PRJ_0002,2021-08-07,web,3,70
LEAD_0000280,CUS_000471,PRJ_0012,2022-10-23,agency,1,71
LEAD_0000281,CUS_003662,PRJ_0018,2021-09-16,agency,3,65
LEAD_0000282,CUS_005095,PRJ_0021,2023-06-14,web,3,71
LEAD_0000283,CUS_004980,PRJ_0016,2025-04-23,referral,2,75
LEAD_0000284,CUS_005815,PRJ_0025,2025-05-08,agency,0,75
LEAD_0000285,CUS_002361,PRJ_0006,2025-07-19,walk_in,0,44
LEAD_0000286,CUS_005350,PRJ_0017,2023-05-13,walk_in,2,61
LEAD_0000287,CUS_005869,PRJ_0014,2021-03-21,web,1,76
LEAD_0000288,CUS_002908,PRJ_0017,2023-07-20,web,2,72
LEAD_0000289,CUS_003406,PRJ_0017,2023-03-28,agency,1,63
LEAD_0000290,CUS_002886,PRJ_0014,2025-12-09,campaign,2,56
LEAD_0000291,CUS_002193,PRJ_0001,2023-05-05,walk_in,4,62
LEAD_0000292,CUS_002008,PRJ_0003,2024-08-19,web,1,73
LEAD_0000293,CUS_001346,PRJ_0025,2025-11-29,walk_in,5,64
LEAD_0000294,CUS_003037,PRJ_0008,2024-06-11,agency,2,67
LEAD_0000295,CUS_006238,PRJ_0014,2025-04-24,web,2,56
LEAD_0000296,CUS_000226,PRJ_0011,2025-11-01,campaign,1,63
LEAD_0000297,CUS_000947,PRJ_0009,2025-03-21,web,2,70
LEAD_0000298,CUS_004356,PRJ_0008,2024-08-28,agency,1,66
LEAD_0000299,CUS_004861,PRJ_0016,2022-11-14,walk_in,2,75
LEAD_0000300,CUS_004572,PRJ_0008,2024-03-27,walk_in,2,64
LEAD_0000301,CUS_001690,PRJ_0026,2025-12-17,web,1,52
LEAD_0000302,CUS_005316,PRJ_0025,2022-09-01,referral,1,56
LEAD_0000303,CUS_000011,PRJ_0010,2022-03-16,web,2,57
LEAD_0000304,CUS_004199,PRJ_0017,2024-11-05,campaign,4,64
LEAD_0000305,CUS_006344,PRJ_0027,2021-05-02,walk_in,3,63
LEAD_0000306,CUS_001156,PRJ_0027,2024-07-09,agency,1,65
LEAD_0000307,CUS_006410,PRJ_0011,2024-01-28,web,2,60
LEAD_0000308,CUS_005580,PRJ_0013,2023-12-29,campaign,2,51
LEAD_0000309,CUS_001866,PRJ_0021,2022-12-06,web,1,70
LEAD_0000310,CUS_002440,PRJ_0018,2021-04-03,campaign,1,47
LEAD_0000311,CUS_001677,PRJ_0014,2024-01-22,web,0,81
LEAD_0000312,CUS_004159,PRJ_0017,2022-05-16,web,0,64
LEAD_0000313,CUS_005180,PRJ_0002,2023-07-02,walk_in,1,63
LEAD_0000314,CUS_001388,PRJ_0027,2024-04-10,web,2,41
LEAD_0000315,CUS_004428,PRJ_0022,2022-02-08,walk_in,0,53
LEAD_0000316,CUS_002664,PRJ_0004,2021-09-03,campaign,2,57
LEAD_0000317,CUS_001401,PRJ_0004,2022-05-24,web,4,68
LEAD_0000318,CUS_004089,PRJ_0009,2024-03-01,web,6,67
LEAD_0000319,CUS_002963,PRJ_0028,2024-08-21,web,3,50
LEAD_0000320,CUS_004266,PRJ_0022,2021-04-26,walk_in,3,54
LEAD_0000321,CUS_004200,PRJ_0027,2022-05-26,walk_in,3,73
LEAD_0000322,CUS_001976,PRJ_0022,2025-09-15,web,2,39
LEAD_0000323,CUS_002121,PRJ_0022,2021-10-18,campaign,2,52
LEAD_0000324,CUS_003881,PRJ_0004,2025-07-17,campaign,1,42
LEAD_0000325,CUS_000736,PRJ_0005,2021-01-15,web,2,71
LEAD_0000326,CUS_000026,PRJ_0016,2023-10-02,walk_in,2,63
LEAD_0000327,CUS_000548,PRJ_0012,2025-04-05,agency,4,75
LEAD_0000328,CUS_003859,PRJ_0007,2025-09-19,referral,3,58
LEAD_0000329,CUS_004700,PRJ_0012,2023-03-23,web,3,65
LEAD_0000330,CUS_005899,PRJ_0024,2025-10-28,web,2,55
LEAD_0000331,CUS_005019,PRJ_0003,2025-11-15,walk_in,2,67
LEAD_0000332,CUS_003454,PRJ_0022,2022-02-28,web,5,53
LEAD_0000333,CUS_004572,PRJ_0018,2021-04-03,agency,3,58
LEAD_0000334,CUS_002859,PRJ_0016,2024-07-08,web,4,66
LEAD_0000335,CUS_005615,PRJ_0008,2023-02-07,web,3,67
LEAD_0000336,CUS_003060,PRJ_0018,2024-05-10,web,3,57
LEAD_0000337,CUS_005750,PRJ_0018,2021-02-16,campaign,3,72
LEAD_0000338,CUS_000563,PRJ_0026,2021-07-25,agency,1,81
LEAD_0000339,CUS_002599,PRJ_0017,2023-10-28,walk_in,2,62
LEAD_0000340,CUS_002737,PRJ_0001,2022-05-28,agency,1,65
LEAD_0000341,CUS_002491,PRJ_0023,2023-02-07,campaign,2,99
LEAD_0000342,CUS_005390,PRJ_0018,2023-04-06,agency,2,72
LEAD_0000343,CUS_002577,PRJ_0003,2024-03-02,web,3,58
LEAD_0000344,CUS_006120,PRJ_0003,2023-06-07,referral,1,68
LEAD_0000345,CUS_002545,PRJ_0012,2024-12-30,referral,2,79
LEAD_0000346,CUS_001169,PRJ_0027,2021-05-26,agency,3,56
LEAD_0000347,CUS_006217,PRJ_0002,2021-06-17,campaign,2,54
LEAD_0000348,CUS_004529,PRJ_0011,2023-09-23,referral,3,61
LEAD_0000349,CUS_003355,PRJ_0023,2025-03-22,agency,1,62
LEAD_0000350,CUS_003315,PRJ_0008,2025-03-04,campaign,2,63
LEAD_0000351,CUS_002607,PRJ_0010,2022-04-12,web,2,58
LEAD_0000352,CUS_006117,PRJ_0001,2024-11-01,web,0,57
LEAD_0000353,CUS_005629,PRJ_0023,2022-09-26,agency,2,72
LEAD_0000354,CUS_002955,PRJ_0001,2023-10-23,referral,1,62
LEAD_0000355,CUS_004642,PRJ_0022,2021-06-09,campaign,2,72
LEAD_0000356,CUS_001427,PRJ_0028,2022-10-04,referral,1,84
LEAD_0000357,CUS_002623,PRJ_0007,2025-08-11,walk_in,0,71
LEAD_0000358,CUS_000293,PRJ_0022,2024-02-29,referral,3,74
LEAD_0000359,CUS_002135,PRJ_0024,2022-08-30,web,1,57
LEAD_0000360,CUS_004884,PRJ_0027,2022-11-01,referral,1,59
LEAD_0000361,CUS_002344,PRJ_0005,2021-03-24,campaign,1,37
LEAD_0000362,CUS_004677,PRJ_0011,2022-03-10,web,2,87
LEAD_0000363,CUS_006393,PRJ_0027,2024-05-16,referral,1,70
LEAD_0000364,CUS_006022,PRJ_0009,2021-11-16,referral,1,74
LEAD_0000365,CUS_002282,PRJ_0016,2021-06-25,walk_in,3,51
LEAD_0000366,CUS_000393,PRJ_0021,2023-10-08,web,2,63
LEAD_0000367,CUS_005862,PRJ_0016,2023-06-08,web,2,53
