reservation_id,lead_id,customer_id,project_id,unit_id,reservation_date,deposit_eur,financing_ratio,status,cancel_date
RES_0000080,LEAD_0008577,CUS_005102,PRJ_0010,PRJ_0010_U006,2022-02-28,48479.73,0.788,converted,
RES_0000081,LEAD_0004808,CUS_006189,PRJ_0006,PRJ_0006_U116,2024-03-07,19247.79,0.569,converted,
RES_0000082,LEAD_0003081,CUS_005440,PRJ_0022,PRJ_0022_U009,2022-11-26,47512.55,0.349,converted,
RES_0000083,LEAD_0003060,CUS_000543,PRJ_0028,PRJ_0028_U017,2025-01-23,19162.32,0.309,converted,
RES_0000084,LEAD_0002361,CUS_003762,PRJ_0015,PRJ_0015_U052,2024-08-18,16951.87,0.536,converted,
RES_0000085,LEAD_0003155,CUS_003361,PRJ_0023,PRJ_0023_U038,2022-01-06,34208.39,0.343,converted,
RES_0000086,LEAD_0008046,CUS_001684,PRJ_0010,PRJ_0010_U052,2024-07-04,21305.21,0.832,converted,
RES_0000087,LEAD_0000252,CUS_001225,PRJ_0013,PRJ_0013_U013,2023-06-01,7417.33,0.355,converted,
RES_0000088,LEAD_0008060,CUS_005297,PRJ_0006,PRJ_0006_U119,2024-10-10,22555.62,0.402,converted,
RES_0000089,LEAD_0002250,CUS_006494,PRJ_0008,PRJ_0008_U009,2022-09-20,17729.76,0.637,converted,
RES_0000090,LEAD_0006687,CUS_005687,PRJ_0004,PRJ_0004_U015,2024-03-30,33225.76,0.602,converted,
RES_0000091,LEAD_0010085,CUS_003337,PRJ_0027,PRJ_0027_U016,2021-01-30,16613.02,0.371,converted,
RES_0000092,LEAD_0001298,CUS_002009,PRJ_0011,PRJ_0011_U069,2024-11-18,15380.02,0.646,converted,
RES_0000093,LEAD_0007883,CUS_003658,PRJ_0008,PRJ_0008_U026,2025-02-19,12337.51,0.843,converted,
RES_0000094,LEAD_0005759,CUS_003034,PRJ_0007,PRJ_0007_U021,2021-02-26,37762.53,0.594,converted,
RES_0000095,LEAD_0002841,CUS_001827,PRJ_0001,PRJ_0001_U016,2021-03-18,26911.46,0.549,converted,
RES_0000096,LEAD_0002246,CUS_003987,PRJ_0010,PRJ_0010_U002,2024-10-28,31669.54,0.454,converted,
RES_0000097,LEAD_0009624,CUS_000768,PRJ_0011,PRJ_0011_U054,2023-04-29,17570.75,0.339,converted,
RES_0000098,LEAD_0007055,CUS_003047,PRJ_0015,PRJ_0015_U057,2023-03-05,12304.2,0.634,converted,
RES_0000099,LEAD_0001161,CUS_002444,PRJ_0005,PRJ_0005_U023,2023-10-10,9007.82,0.267,converted,
RES_0000100,LEAD_0009833,CUS_002260,PRJ_0027,PRJ_0027_U075,2023-07-23,14674.47,0.527,converted,
RES_0000101,LEAD_0001196,CUS_006134,PRJ_0018,PRJ_0018_U031,2022-10-16,31610.62,0.79,converted,
RES_0000102,LEAD_0005738,CUS_000924,PRJ_0013,PRJ_0013_U055,2023-05-25,15410.57,0.613,converted,
RES_0000103,LEAD_0002908,CUS_000964,PRJ_0024,PRJ_0024_U034,2023-03-27,15159.07,0.646,converted,
RES_0000104,LEAD_0004376,CUS_005123,PRJ_0002,PRJ_0002_U010,2021-05-23,21560.03,0.522,converted,
RES_0000105,LEAD_0004583,CUS_000154,PRJ_0004,PRJ_0004_U090,2023-02-27,11551.7,0.631,converted,
RES_0000106,LEAD_0003956,CUS_006389,PRJ_0007,PRJ_0007_U006,2022-08-19,32794.7,0.575,converted,
RES_0000107,LEAD_0010153,CUS_002502,PRJ_0003,PRJ_0003_U063,2025-09-30,5145.04,0.441,converted,
RES_0000108,LEAD_0001531,CUS_002238,PRJ_0002,PRJ_0002_U023,2023-09-07,18753.26,0.57,converted,
RES_0000109,LEAD_0007175,CUS_005679,PRJ_0020,PRJ_0020_U044,2022-02-23,20564.26,0.42,converted,
RES_0000110,LEAD_0004405,CUS_000100,PRJ_0028,PRJ_0028_U043,2021-07-25,30013.26,0.596,converted,
RES_0000111,LEAD_0004380,CUS_005104,PRJ_0024,PRJ_0024_U112,2022-04-28,15254.83,0.299,converted,
RES_0000112,LEAD_0001733,CUS_001735,PRJ_0009,PRJ_0009_U051,2025-07-06,45448.49,0.534,converted,
RES_0000113,LEAD_0005215,CUS_004609,PRJ_0021,PRJ_0021_U023,2022-04-18,21107.6,0.613,converted,
RES_0000114,LEAD_0000533,CUS_004229,PRJ_0009,PRJ_0009_U023,2024-01-01,39355.05,0.346,converted,
RES_0000115,LEAD_0006011,CUS_006351,PRJ_0023,PRJ_0023_U057,2024-04-12,16558.16,0.492,converted,
RES_0000116,LEAD_0005731,CUS_000055,PRJ_0020,PRJ_0020_U020,2023-01-02,16751.63,0.723,converted,
RES_0000117,LEAD_0002886,CUS_004770,PRJ_0011,PRJ_0011_U001,2022-05-05,17683.22,0.645,converted,
RES_0000118,LEAD_0005268,CUS_005292,PRJ_0007,PRJ_0007_U059,2025-03-10,19443.92,0.589,converted,
RES_0000119,LEAD_0006848,CUS_003719,PRJ_0021,PRJ_0021_U005,2021-04-03,9212.06,0.542,converted,
RES_0000120,LEAD_0008181,CUS_001446,PRJ_0022,PRJ_0022_U025,2021-07-09,14428.06,0.674,converted,
RES_0000121,LEAD_0004393,CUS_000992,PRJ_0004,PRJ_0004_U011,2021-03-17,11793.74,0.316,converted,
RES_0000122,LEAD_0002590,CUS_000813,PRJ_0013,PRJ_0013_U002,2024-02-18,11043.74,0.377,converted,
RES_0000123,LEAD_0006443,CUS_000677,PRJ_0019,PRJ_0019_U053,2022-08-07,22238.78,0.42,converted,
RES_0000124,LEAD_0000458,CUS_001822,PRJ_0020,PRJ_0020_U061,2023-07-27,11365.21,0.433,converted,
RES_0000125,LEAD_0005407,CUS_003248,PRJ_0018,PRJ_0018_U027,2022-04-02,27730.77,0.552,converted,
RES_0000126,LEAD_0005621,CUS_003684,PRJ_0023,PRJ_0023_U006,2023-11-16,20489.18,0.379,converted,
RES_0000127,LEAD_0009814,CUS_004215,PRJ_0015,PRJ_0015_U028,2025-08-06,22727.06,0.554,converted,
RES_0000128,LEAD_0004511,CUS_002488,PRJ_0011,PRJ_0011_U007,2024-03-04,13584.94,0.723,converted,
RES_0000129,LEAD_0009620,CUS_001464,PRJ_0021,PRJ_0021_U039,2022-05-22,18881.82,0.364,converted,
RES_0000130,LEAD_0001447,CUS_001300,PRJ_0013,PRJ_0013_U006,2025-06-09,15618.69,0.299,converted,
RES_0000131,LEAD_0004254,CUS_005633,PRJ_0013,PRJ_0013_U019,2024-02-11,25176.47,0.652,converted,
RES_0000132,LEAD_0003001,CUS_004311,PRJ_0007,PRJ_0007_U072,2024-08-29,31165.51,0.612,converted,
RES_0000133,LEAD_0001618,CUS_002168,PRJ_0005,PRJ_0005_U064,2021-03-06,9142.53,0.269,converted,
RES_0000134,LEAD_0006240,CUS_006053,PRJ_0015,PRJ_0015_U036,2021-09-28,14065.55,0.581,converted,
RES_0000135,LEAD_0000884,CUS_005859,PRJ_0006,PRJ_0006_U031,2025-01-02,20333.59,0.33,converted,
RES_0000136,LEAD_0007855,CUS_002299,PRJ_0015,PRJ_0015_U042,2021-06-04,26574.23,0.603,converted,
RES_0000137,LEAD_0004314,CUS_003543,PRJ_0018,PRJ_0018_U063,2023-09-17,37762.69,0.727,converted,
RES_0000138,LEAD_0001083,CUS_003510,PRJ_0023,PRJ_0023_U036,2024-12-13,21476.91,0.617,converted,
RES_0000139,LEAD_0002649,CUS_003197,PRJ_0014,PRJ_0014_U060,2023-02-14,14672.72,0.586,converted,
RES_0000140,LEAD_0003134,CUS_001796,PRJ_0001,PRJ_0001_U008,2023-03-02,7814.81,0.359,converted,
RES_0000141,LEAD_0003474,CUS_005457,PRJ_0001,PRJ_0001_U011,2024-05-14,42792.61,0.518,converted,
RES_0000142,LEAD_0010285,CUS_002557,PRJ_0007,PRJ_0007_U068,2025-10-26,20221.51,0.772,converted,
RES_0000143,LEAD_0007087,CUS_004767,PRJ_0011,PRJ_0011_U085,2022-05-22,18657.92,0.536,converted,
RES_0000144,LEAD_0000260,CUS_001024,PRJ_0019,PRJ_0019_U089,2024-05-06,15689.6,0.422,converted,
RES_0000145,LEAD_0005457,CUS_000144,PRJ_0021,PRJ_0021_U024,2023-09-26,15934.35,0.838,converted,
RES_0000146,LEAD_0010375,CUS_001742,PRJ_0015,PRJ_0015_U003,2023-03-25,18000.77,0.675,converted,
RES_0000147,LEAD_0009234,CUS_004140,PRJ_0028,PRJ_0028_U021,2022-08-08,16318.9,0.731,converted,
RES_0000148,LEAD_0001471,CUS_005232,PRJ_0003,PRJ_0003_U019,2023-07-23,23855.81,0.572,converted,
RES_0000149,LEAD_0004705,CUS_003611,PRJ_0019,PRJ_0019_U023,2023-12-11,15194.61,0.676,converted,
RES_0000150,LEAD_0003998,CUS_004297,PRJ_0012,PRJ_0012_U097,2025-05-12,32785.73,0.768,converted,
RES_0000151,LEAD_0004864,CUS_004346,PRJ_0009,PRJ_0009_U063,2024-10-09,30602.2,0.818,converted,
RES_0000152,LEAD_0005577,CUS_003452,PRJ_0025,PRJ_0025_U001,2023-08-04,7946.18,0.508,converted,
RES_0000153,LEAD_0007886,CUS_006259,PRJ_0018,PRJ_0018_U013,2025-11-21,25682.69,0.368,converted,
RES_0000154,LEAD_0004369,CUS_001427,PRJ_0023,PRJ_0023_U046,2022-08-21,14923.89,0.365,converted,
RES_0000155,LEAD_0008359,CUS_002656,PRJ_0010,PRJ_0010_U034,2023-07-22,24903.3,0.69,converted,
RES_0000156,LEAD_0009394,CUS_006133,PRJ_0015,PRJ_0015_U005,2023-07-03,14843.29,0.763,converted,
RES_0000157,LEAD_0001964,CUS_004462,PRJ_0020,PRJ_0020_U029,2024-10-07,34794.95,0.511,converted,
RES_0000158,LEAD_0010286,CUS_003260,PRJ_0023,PRJ_0023_U015,2025-03-18,28452.95,0.706,converted,
RES_0000159,LEAD_0008672,CUS_000650,PRJ_0009,PRJ_0009_U026,2025-06-26,21755.76,0.837,converted,
RES_0000160,LEAD_0003772,CUS_001549,PRJ_0013,PRJ_0013_U016,2021-03-05,12446.54,0.334,converted,
RES_0000161,LEAD_0006607,CUS_005960,PRJ_0015,PRJ_0015_U040,2025-10-06,18814.03,0.702,converted,
RES_0000162,LEAD_0000170,CUS_002950,PRJ_0021,PRJ_0021_U038,2024-02-20,30882.34,0.481,cancelled,2024-05-02
RES_0000163,LEAD_0006335,CUS_002899,PRJ_0018,PRJ_0018_U054,2025-01-15,20403.08,0.632,converted,
RES_0000164,LEAD_0007365,CUS_003083,PRJ_0027,PRJ_0027_U013,2023-10-29,22841.51,0.694,converted,
RES_0000165,LEAD_0007825,CUS_000496,PRJ_0001,PRJ_0001_U059,2025-01-17,21399.6,0.558,converted,
RES_0000166,LEAD_0008522,CUS_002201,PRJ_0004,PRJ_0004_U037,2025-11-18,38587.96,0.329,converted,
RES_0000167,LEAD_0008301,CUS_003234,PRJ_0004,PRJ_0004_U020,2023-11-10,17961.22,0.504,converted,
RES_0000168,LEAD_0005903,CUS_004260,PRJ_0010,PRJ_0010_U044,2025-07-29,26058.34,0.703,converted,
RES_0000169,LEAD_0006570,CUS_006009,PRJ_0023,PRJ_0023_U077,2023-12-01,33221.68,0.379,converted,
RES_0000170,LEAD_0000928,CUS_005820,PRJ_0018,PRJ_0018_U057,2025-06-05,37189.83,0.591,converted,
RES_0000171,LEAD_0003892,CUS_002083,PRJ_0001,PRJ_0001_U036,2023-07-10,54712.11,0.528,converted,
RES_0000172,LEAD_0010255,CUS_004357,PRJ_0020,PRJ_0020_U013,2024-12-21,14830.08,0.563,converted,
RES_0000173,LEAD_0000857,CUS_001786,PRJ_0023,PRJ_0023_U075,2022-08-17,22777.55,0.466,converted,
RES_0000174,LEAD_0001692,CUS_003514,PRJ_0017,PRJ_0017_U064,2024-02-02,15707.16,0.548,converted,
RES_0000175,LEAD_0010060,CUS_001440,PRJ_0024,PRJ_0024_U066,2023-01-13,25033.22,0.47,converted,
RES_0000176,LEAD_0004795,CUS_005222,PRJ_0027,PRJ_0027_U074,2021-06-27,5487.63,0.735,converted,
RES_0000177,LEAD_0007179,CUS_001592,PRJ_0002,PRJ_0002_U025,2025-09-23,25341.94,0.714,cancelled,2025-12-25
RES_0000178,LEAD_0008236,CUS_004434,PRJ_0024,PRJ_0024_U030,2024-06-17,18790.21,0.357,converted,
RES_0000179,LEAD_0010358,CUS_004768,PRJ_0009,PRJ_0009_U039,2025-09-05,27253.64,0.764,converted,
RES_0000180,LEAD_0007628,CUS_004939,PRJ_0028,PRJ_0028_U027,2021-03-13,26138.84,0.642,converted,
RES_0000181,LEAD_0004353,CUS_003184,PRJ_0018,PRJ_0018_U067,2023-12-28,42504.95,0.867,cancelled,2024-03-08
RES_0000182,LEAD_0009053,CUS_006076,PRJ_0018,PRJ_0018_U070,2025-07-28,14180.78,0.37,converted,
RES_0000183,LEAD_0005355,CUS_005165,PRJ_0022,PRJ_0022_U011,2025-10-17,24554.39,0.716,converted,
RES_0000184,LEAD_0004030,CUS_003356,PRJ_0015,PRJ_0015_U035,2023-09-20,8553.15,0.72,converted,
RES_0000185,LEAD_0006435,CUS_001448,PRJ_0006,PRJ_0006_U081,2025-05-25,11450.08,0.66,converted,
RES_0000186,LEAD_0003255,CUS_001759,PRJ_0028,PRJ_0028_U053,2024-10-06,19260.8,0.526,converted,
RES_0000187,LEAD_0000048,CUS_005708,PRJ_0007,PRJ_0007_U029,2021-03-02,24777.09,0.338,converted,
RES_0000188,LEAD_0004641,CUS_006350,PRJ_0010,PRJ_0010_U038,2023-10-24,42670.24,0.782,converted,
RES_0000189,LEAD_0001761,CUS_004587,PRJ_0002,PRJ_0002_U042,2024-10-20,9715.83,0.475,converted,
RES_0000190,LEAD_0008982,CUS_003460,PRJ_0003,PRJ_0003_U017,2022-12-11,7832.89,0.408,converted,
RES_0000191,LEAD_0007437,CUS_000129,PRJ_0027,PRJ_0027_U101,2025-04-22,11511.25,0.607,converted,
RES_0000192,LEAD_0010003,CUS_002296,PRJ_0022,PRJ_0022_U029,2025-03-15,20387.36,0.748,converted,
RES_0000193,LEAD_0004924,CUS_004359,PRJ_0027,PRJ_0027_U092,2022-11-24,32308.15,0.541,converted,
RES_0000194,LEAD_0001285,CUS_004913,PRJ_0024,PRJ_0024_U065,2023-03-01,14228.72,0.79,converted,
RES_0000195,LEAD_0009997,CUS_003861,PRJ_0027,PRJ_0027_U045,2021-05-02,18707.7,0.378,converted,
RES_0000196,LEAD_0008127,CUS_001081,PRJ_0014,PRJ_0014_U084,2024-01-01,25150.78,0.591,converted,
RES_0000197,LEAD_0008117,CUS_002175,PRJ_0024,PRJ_0024_U064,2025-09-18,14462.88,0.651,converted,
RES_0000198,LEAD_0010258,CUS_006411,PRJ_0020,PRJ_0020_U007,2025-02-13,30467.42,0.585,converted,
RES_0000199,LEAD_0009155,CUS_000854,PRJ_0021,PRJ_0021_U018,2025-09-13,17085.83,0.329,converted,
RES_0000200,LEAD_0004077,CUS_000062,PRJ_0019,PRJ_0019_U032,2024-09-15,9487.2,0.431,converted,
RES_0000201,LEAD_0005370,CUS_003002,PRJ_0008,PRJ_0008_U095,2022-07-29,8664.61,0.567,converted,
RES_0000202,LEAD_0002699,CUS_005490,PRJ_0001,PRJ_0001_U002,2022-11-09,33664.34,0.779,converted,
RES_0000203,LEAD_0003899,CUS_001428,PRJ_0009,PRJ_0009_U014,2023-11-29,25005.87,0.555,converted,
RES_0000204,LEAD_0001767,CUS_004428,PRJ_0005,PRJ_0005_U022,2025-07-09,9561.46,0.456,converted,
RES_0000205,LEAD_0009746,CUS_003614,PRJ_0027,PRJ_0027_U048,2024-08-11,11618.49,0.255,converted,
RES_0000206,LEAD_0000543,CUS_000637,PRJ_0017,PRJ_0017_U084,2021-02-14,7630.85,0.535,converted,
RES_0000207,LEAD_0000563,CUS_000629,PRJ_0015,PRJ_0015_U020,2025-11-07,6808.17,0.342,converted,
RES_0000208,LEAD_0003949,CUS_003160,PRJ_0017,PRJ_0017_U086,2024-08-31,21315.0,0.424,converted,
RES_0000209,LEAD_0003354,CUS_004709,PRJ_0016,PRJ_0016_U095,2024-03-02,8816.33,0.649,converted,
RES_0000210,LEAD_0008463,CUS_006010,PRJ_0021,PRJ_0021_U032,2025-03-08,11242.78,0.672,cancelled,2025-05-30
RES_0000211,LEAD_0006795,CUS_000251,PRJ_0023,PRJ_0023_U010,2021-07-19,18623.76,0.544,converted,
RES_0000212,LEAD_0003119,CUS_006342,PRJ_0021,PRJ_0021_U021,2023-09-08,12869.73,0.632,converted,
RES_0000213,LEAD_0000901,CUS_000953,PRJ_0011,PRJ_0011_U104,2022-04-08,25234.14,0.635,converted,
RES_0000214,LEAD_0006256,CUS_004689,PRJ_0024,PRJ_0024_U120,2021-05-02,24604.86,0.475,converted,
RES_0000215,LEAD_0000953,CUS_004526,PRJ_0021,PRJ_0021_U035,2021-12-06,20106.07,0.595,converted,
RES_0000216,LEAD_0009610,CUS_000742,PRJ_0010,PRJ_0010_U041,2024-09-17,25080.97,0.58,converted,
RES_0000217,LEAD_0007276,CUS_000567,PRJ_0023,PRJ_0023_U058,2022-02-07,32150.27,0.595,converted,
RES_0000218,LEAD_0000938,CUS_002396,PRJ_0012,PRJ_0012_U109,2023-05-21,16611.16,0.655,converted,
RES_0000219,LEAD_0005757,CUS_005055,PRJ_0013,PRJ_0013_U027,2023-11-17,17296.08,0.719,converted,
RES_0000220,LEAD_0009174,CUS_005137,PRJ_0017,PRJ_0017_U047,2024-07-01,21030.83,0.852,converted,
RES_0000221,LEAD_0002985,CUS_002664,PRJ_0012,PRJ_0012_U025,2021-05-25,27189.44,0.684,converted,
RES_0000222,LEAD_0009151,CUS_004694,PRJ_0021,PRJ_0021_U036,2025-03-01,8783.2,0.608,converted,
RES_0000223,LEAD_0007610,CUS_003610,PRJ_0010,PRJ_0010_U026,2022-01-30,23042.9,0.302,converted,
