unit_id,project_id,city,license_status,occupancy_status,has_encumbrance,encumbrance_type,legal_risk_tier,last_legal_update
PRJ_0001_U057,PRJ_0001,Madrid,in_review,vacant,1,hipoteca,HIGH,2023-02-14
PRJ_0001_U058,PRJ_0001,Madrid,granted,vacant,0,,LOW,2022-02-14
PRJ_0001_U059,PRJ_0001,Madrid,granted,vacant,0,,LOW,2022-06-14
PRJ_0001_U060,PRJ_0001,Madrid,granted,vacant,0,,LOW,2022-04-14
PRJ_0001_U061,PRJ_0001,Madrid,granted,vacant,0,,LOW,2022-10-14
PRJ_0001_U062,PRJ_0001,Madrid,granted,vacant,0,,LOW,2022-04-14
PRJ_0001_U063,PRJ_0001,Madrid,in_review,vacant,0,,LOW,2021-10-14
PRJ_0001_U064,PRJ_0001,Madrid,pending,vacant,0,,LOW,2023-03-14
PRJ_0001_U065,PRJ_0001,Madrid,pending,vacant,0,,LOW,2021-08-14
PRJ_0001_U066,PRJ_0001,Madrid,granted,vacant,1,embargo,HIGH,2021-09-14
PRJ_0001_U067,PRJ_0001,Madrid,granted,vacant,0,,LOW,2021-09-14
PRJ_0002_U001,PRJ_0002,Sevilla,granted,vacant,0,,LOW,2024-03-25
PRJ_0002_U002,PRJ_0002,Sevilla,pending,vacant,0,,LOW,2024-09-25
PRJ_0002_U003,PRJ_0002,Sevilla,pending,reserved,0,,LOW,2024-11-25
PRJ_0002_U004,PRJ_0002,Sevilla,granted,vacant,0,,LOW,2024-02-25
PRJ_0002_U005,PRJ_0002,Sevilla,granted,vacant,0,,LOW,2024-05-25
PRJ_0002_U006,PRJ_0002,Sevilla,granted,occupied,0,,LOW,2024-05-25
PRJ_0002_U007,PRJ_0002,Sevilla,granted,vacant,0,,LOW,2025-01-25
PRJ_0002_U008,PRJ_0002,Sevilla,granted,reserved,1,embargo,HIGH,2025-02-25
PRJ_0002_U009,PRJ_0002,Sevilla,granted,occupied,0,,LOW,2024-06-25
PRJ_0002_U010,PRJ_0002,Sevilla,granted,occupied,0,,LOW,2025-08-25
PRJ_0002_U011,PRJ_0002,Sevilla,granted,vacant,1,embargo,HIGH,2025-06-25
PRJ_0002_U012,PRJ_0002,Sevilla,in_review,vacant,1,embargo,HIGH,2024-06-25
PRJ_0002_U013,PRJ_0002,Sevilla,granted,vacant,1,hipoteca,HIGH,2024-01-25
PRJ_0002_U014,PRJ_0002,Sevilla,granted,reserved,1,embargo,HIGH,2024-03-25
PRJ_0002_U015,PRJ_0002,Sevilla,in_review,reserved,0,,LOW,2025-02-25
PRJ_0002_U016,PRJ_0002,Sevilla,granted,reserved,1,hipoteca,HIGH,2024-02-25
PRJ_0002_U017,PRJ_0002,Sevilla,granted,vacant,0,,LOW,2024-11-25
PRJ_0002_U018,PRJ_0002,Sevilla,granted,reserved,1,hipoteca,HIGH,2025-08-25
PRJ_0002_U019,PRJ_0002,Sevilla,in_review,vacant,0,,LOW,2023-11-25
PRJ_0002_U020,PRJ_0002,Sevilla,granted,vacant,0,,LOW,2024-06-25
PRJ_0002_U021,PRJ_0002,Sevilla,granted,reserved,0,,LOW,2025-05-25
PRJ_0002_U022,PRJ_0002,Sevilla,granted,vacant,1,servidumbre,MED,2024-03-25
PRJ_0002_U023,PRJ_0002,Sevilla,pending,vacant,0,,LOW,2025-02-25
PRJ_0002_U024,PRJ_0002,Sevilla,granted,vacant,1,embargo,HIGH,2025-09-25
PRJ_0002_U025,PRJ_0002,Sevilla,granted,vacant,0,,LOW,2024-12-25
PRJ_0002_U026,PRJ_0002,Sevilla,granted,reserved,0,,LOW,2025-08-25
PRJ_0002_U027,PRJ_0002,Sevilla,granted,vacant,0,,LOW,2024-05-25
PRJ_0002_U028,PRJ_0002,Sevilla,in_review,vacant,1,embargo,HIGH,2024-07-25
PRJ_0002_U029,PRJ_0002,Sevilla,granted,vacant,0,,LOW,2025-05-25
PRJ_0002_U030,PRJ_0002,Sevilla,granted,occupied,0,,LOW,2024-11-25
PRJ_0002_U031,PRJ_0002,Sevilla,granted,vacant,0,,LOW,2024-03-25
PRJ_0002_U032,PRJ_0002,Sevilla,granted,occupied,0,,LOW,2024-10-25
PRJ_0002_U033,PRJ_0002,Sevilla,granted,occupied,1,hipoteca,HIGH,2024-02-25
PRJ_0002_U034,PRJ_0002,Sevilla,granted,occupied,0,,LOW,2025-08-25
PRJ_0002_U035,PRJ_0002,Sevilla,granted,vacant,0,,LOW,2024-02-25
PRJ_0002_U036,PRJ_0002,Sevilla,in_review,reserved,0,,LOW,2024-02-25
PRJ_0002_U037,PRJ_0002,Sevilla,granted,vacant,0,,LOW,2024-03-25
PRJ_0002_U038,PRJ_0002,Sevilla,pending,vacant,0,,LOW,2024-08-25
PRJ_0002_U039,PRJ_0002,Sevilla,granted,reserved,1,servidumbre,MED,2024-11-25
PRJ_0002_U040,PRJ_0002,Sevilla,pending,reserved,0,,LOW,2024-11-25
PRJ_0002_U041,PRJ_0002,Sevilla,granted,vacant,0,,LOW,2024-05-25
PRJ_0002_U042,PRJ_0002,Sevilla,granted,vacant,0,,LOW,2023-12-25
PRJ_0002_U043,PRJ_0002,Sevilla,granted,vacant,0,,LOW,2025-04-25
PRJ_0002_U044,PRJ_0002,Sevilla,in_review,reserved,0,,LOW,2025-08-25
PRJ_0002_U045,PRJ_0002,Sevilla,granted,vacant,0,,LOW,2024-09-25
PRJ_0002_U046,PRJ_0002,Sevilla,in_review,occupied,0,,LOW,2025-01-25
PRJ_0003_U001,PRJ_0003,Sevilla,in_review,vacant,0,,LOW,2024-11-24
PRJ_0003_U002,PRJ_0003,Sevilla,granted,reserved,1,servidumbre,MED,2024-03-24
PRJ_0003_U003,PRJ_0003,Sevilla,granted,vacant,0,,LOW,2025-07-24
PRJ_0003_U004,PRJ_0003,Sevilla,pending,vacant,0,,LOW,2025-09-24
PRJ_0003_U005,PRJ_0003,Sevilla,granted,vacant,1,hipoteca,HIGH,2024-08-24
PRJ_0003_U006,PRJ_0003,Sevilla,pending,occupied,0,,LOW,2024-08-24
PRJ_0003_U007,PRJ_0003,Sevilla,granted,vacant,0,,LOW,2024-08-24
PRJ_0003_U008,PRJ_0003,Sevilla,granted,vacant,1,servidumbre,MED,2023-12-24
PRJ_0003_U009,PRJ_0003,Sevilla,granted,vacant,0,,LOW,2025-03-24
PRJ_0003_U010,PRJ_0003,Sevilla,granted,occupied,0,,LOW,2025-01-24
PRJ_0003_U011,PRJ_0003,Sevilla,granted,vacant,0,,LOW,2025-02-24
PRJ_0003_U012,PRJ_0003,Sevilla,granted,reserved,0,,LOW,2024-11-24
PRJ_0003_U013,PRJ_0003,Sevilla,granted,occupied,1,embargo,HIGH,2025-03-24
PRJ_0003_U014,PRJ_0003,Sevilla,in_review,vacant,0,,LOW,2025-03-24
PRJ_0003_U015,PRJ_0003,Sevilla,granted,vacant,0,,LOW,2025-06-24
PRJ_0003_U016,PRJ_0003,Sevilla,granted,reserved,0,,LOW,2024-08-24
PRJ_0003_U017,PRJ_0003,Sevilla,in_review,vacant,0,,LOW,2025-08-24
PRJ_0003_U018,PRJ_0003,Sevilla,granted,vacant,0,,LOW,2025-12-24
PRJ_0003_U019,PRJ_0003,Sevilla,granted,vacant,0,,LOW,2025-12-24
PRJ_0003_U020,PRJ_0003,Sevilla,granted,vacant,0,,LOW,2025-06-24
PRJ_0003_U021,PRJ_0003,Sevilla,granted,reserved,0,,LOW,2025-09-24
PRJ_0003_U022,PRJ_0003,Sevilla,pending,vacant,0,,LOW,2024-01-24
PRJ_0003_U023,PRJ_0003,Sevilla,in_review,reserved,0,,LOW,2025-11-24
PRJ_0003_U024,PRJ_0003,Sevilla,granted,vacant,1,hipoteca,HIGH,2024-06-24
PRJ_0003_U025,PRJ_0003,Sevilla,granted,vacant,1,hipoteca,HIGH,2025-05-24
PRJ_0003_U026,PRJ_0003,Sevilla,granted,vacant,0,,LOW,2025-05-24
PRJ_0003_U027,PRJ_0003,Sevilla,granted,vacant,0,,LOW,2025-02-24
PRJ_0003_U028,PRJ_0003,Sevilla,pending,reserved,0,,LOW,2024-01-24
PRJ_0003_U029,PRJ_0003,Sevilla,granted,vacant,0,,LOW,2025-09-24
PRJ_0003_U030,PRJ_0003,Sevilla,granted,vacant,0,,LOW,2025-06-24
PRJ_0003_U031,PRJ_0003,Sevilla,in_review,vacant,0,,LOW,2024-02-24
PRJ_0003_U032,PRJ_0003,Sevilla,granted,vacant,1,hipoteca,HIGH,2025-08-24
PRJ_0003_U033,PRJ_0003,Sevilla,granted,vacant,0,,LOW,2024-12-24
PRJ_0003_U034,PRJ_0003,Sevilla,granted,occupied,1,servidumbre,MED,2024-02-24
PRJ_0003_U035,PRJ_0003,Sevilla,granted,vacant,0,,LOW,2025-10-24
PRJ_0003_U036,PRJ_0003,Sevilla,granted,vacant,0,,LOW,2024-06-24
PRJ_0003_U037,PRJ_0003,Sevilla,granted,vacant,0,,LOW,2025-10-24
PRJ_0003_U038,PRJ_0003,Sevilla,granted,vacant,0,,LOW,2025-01-24
PRJ_0003_U039,PRJ_0003,Sevilla,granted,reserved,0,,LOW,2024-08-24
PRJ_0003_U040,PRJ_0003,Sevilla,granted,vacant,0,,LOW,2024-01-24
PRJ_0003_U041,PRJ_0003,Sevilla,granted,vacant,1,servidumbre,MED,2025-07-24
PRJ_0003_U042,PRJ_0003,Sevilla,granted,reserved,0,,LOW,2024-09-24
PRJ_0003_U043,PRJ_0003,Sevilla,pending,reserved,0,,LOW,2025-10-24
PRJ_0003_U044,PRJ_0003,Sevilla,granted,reserved,0,,LOW,2024-11-24
PRJ_0003_U045,PRJ_0003,Sevilla,granted,vacant,0,,LOW,2025-07-24
PRJ_0003_U046,PRJ_0003,Sevilla,granted,reserved,0,,LOW,2024-01-24
PRJ_0003_U047,PRJ_0003,Sevilla,granted,reserved,0,,LOW,2024-01-24
PRJ_0003_U048,PRJ_0003,Sevilla,granted,vacant,0,,LOW,2024-11-24
PRJ_0003_U049,PRJ_0003,Sevilla,in_review,reserved,0,,LOW,2024-08-24
PRJ_0003_U050,PRJ_0003,Sevilla,granted,vacant,1,hipoteca,HIGH,2024-04-24
PRJ_0003_U051,PRJ_0003,Sevilla,granted,vacant,0,,LOW,2025-03-24
PRJ_0003_U052,PRJ_0003,Sevilla,in_review,vacant,0,,LOW,2023-12-24
PRJ_0003_U053,PRJ_0003,Sevilla,pending,vacant,0,,LOW,2025-10-24
PRJ_0003_U054,PRJ_0003,Sevilla,pending,occupied,1,servidumbre,MED,2025-02-24
PRJ_0003_U055,PRJ_0003,Sevilla,granted,reserved,0,,LOW,2024-12-24
PRJ_0003_U056,PRJ_0003,Sevilla,granted,reserved,0,,LOW,2024-03-24
PRJ_0003_U057,PRJ_0003,Sevilla,granted,reserved,0,,LOW,2024-06-24
PRJ_0003_U058,PRJ_0003,Sevilla,in_review,vacant,0,,LOW,2024-04-24
PRJ_0003_U059,PRJ_0003,Sevilla,granted,occupied,0,,LOW,2024-03-24
PRJ_0003_U060,PRJ_0003,Sevilla,pending,vacant,0,,LOW,2025-03-24
PRJ_0003_U061,PRJ_0003,Sevilla,granted,vacant,0,,LOW,2024-09-24
PRJ_0003_U062,PRJ_0003,Sevilla,pending,occupied,0,,LOW,2024-05-24
PRJ_0003_U063,PRJ_0003,Sevilla,granted,occupied,0,,LOW,2024-09-24
PRJ_0003_U064,PRJ_0003,Sevilla,granted,vacant,0,,LOW,2025-07-24
PRJ_0003_U065,PRJ_0003,Sevilla,granted,vacant,1,hipoteca,HIGH,2024-01-24
PRJ_0003_U066,PRJ_0003,Sevilla,in_review,vacant,0,,LOW,2025-02-24
PRJ_0003_U067,PRJ_0003,Sevilla,granted,vacant,0,,LOW,2024-03-24
PRJ_0004_U001,PRJ_0004,Valencia,in_review,vacant,0,,LOW,2025-06-13
PRJ_0004_U002,PRJ_0004,Valencia,granted,vacant,0,,LOW,2025-01-13
PRJ_0004_U003,PRJ_0004,Valencia,in_review,vacant,0,,LOW,2026-02-13
PRJ_0004_U004,PRJ_0004,Valencia,granted,occupied,1,servidumbre,MED,2025-09-13
PRJ_0004_U005,PRJ_0004,Valencia,granted,occupied,0,,LOW,2025-03-13
PRJ_0004_U006,PRJ_0004,Valencia,granted,vacant,0,,LOW,2026-08-13
PRJ_0004_U007,PRJ_0004,Valencia,pending,vacant,0,,LOW,2026-08-13
PRJ_0004_U008,PRJ_0004,Valencia,in_review,occupied,0,,LOW,2025-12-13
PRJ_0004_U009,PRJ_0004,Valencia,in_review,vacant,0,,LOW,2026-09-13
PRJ_0004_U010,PRJ_0004,Valencia,granted,occupied,0,,LOW,2026-06-13
PRJ_0004_U011,PRJ_0004,Valencia,granted,occupied,0,,LOW,2024-12-13
PRJ_0004_U012,PRJ_0004,Valencia,pending,vacant,0,,LOW,2026-08-13
PRJ_0004_U013,PRJ_0004,Valencia,granted,occupied,1,embargo,HIGH,2024-12-13
PRJ_0004_U014,PRJ_0004,Valencia,granted,vacant,0,,LOW,2026-08-13
PRJ_0004_U015,PRJ_0004,Valencia,granted,reserved,0,,LOW,2025-05-13
PRJ_0004_U016,PRJ_0004,Valencia,granted,vacant,0,,LOW,2026-04-13
PRJ_0004_U017,PRJ_0004,Valencia,in_review,occupied,0,,LOW,2025-04-13
PRJ_0004_U018,PRJ_0004,Valencia,granted,vacant,1,embargo,HIGH,2026-10-13
PRJ_0004_U019,PRJ_0004,Valencia,granted,vacant,0,,LOW,2026-01-13
PRJ_0004_U020,PRJ_0004,Valencia,granted,vacant,1,hipoteca,HIGH,2026-11-13
PRJ_0004_U021,PRJ_0004,Valencia,in_review,reserved,0,,LOW,2025-03-13
PRJ_0004_U022,PRJ_0004,Valencia,granted,reserved,0,,LOW,2026-08-13
PRJ_0004_U023,PRJ_0004,Valencia,granted,vacant,1,hipoteca,HIGH,2026-06-13
PRJ_0004_U024,PRJ_0004,Valencia,granted,vacant,0,,LOW,2025-01-13
PRJ_0004_U025,PRJ_0004,Valencia,granted,vacant,0,,LOW,2026-04-13
PRJ_0004_U026,PRJ_0004,Valencia,granted,vacant,0,,LOW,2025-09-13
PRJ_0004_U027,PRJ_0004,Valencia,granted,reserved,0,,LOW,2026-02-13
PRJ_0004_U028,PRJ_0004,Valencia,granted,vacant,0,,LOW,2026-02-13
PRJ_0004_U029,PRJ_0004,Valencia,granted,occupied,0,,LOW,2024-12-13
PRJ_0004_U030,PRJ_0004,Valencia,in_review,vacant,1,servidumbre,MED,2026-11-13
PRJ_0004_U031,PRJ_0004,Valencia,in_review,reserved,0,,LOW,2025-06-13
PRJ_0004_U032,PRJ_0004,Valencia,in_review,vacant,0,,LOW,2025-05-13
PRJ_0004_U033,PRJ_0004,Valencia,granted,vacant,0,,LOW,2026-10-13
PRJ_0004_U034,PRJ_0004,Valencia,granted,occupied,0,,LOW,2025-07-13
PRJ_0004_U035,PRJ_0004,Valencia,granted,vacant,0,,LOW,2026-04-13
PRJ_0004_U036,PRJ_0004,Valencia,granted,reserved,0,,LOW,2026-08-13
PRJ_0004_U037,PRJ_0004,Valencia,granted,vacant,0,,LOW,2026-04-13
PRJ_0004_U038,PRJ_0004,Valencia,granted,vacant,1,servidumbre,MED,2025-06-13
PRJ_0004_U039,PRJ_0004,Valencia,granted,vacant,0,,LOW,2026-01-13
PRJ_0004_U040,PRJ_0004,Valencia,granted,vacant,0,,LOW,2024-12-13
PRJ_0004_U041,PRJ_0004,Valencia,in_review,vacant,0,,LOW,2025-10-13
PRJ_0004_U042,PRJ_0004,Valencia,granted,vacant,0,,LOW,2025-03-13
PRJ_0004_U043,PRJ_0004,Valencia,granted,vacant,0,,LOW,2025-12-13
PRJ_0004_U044,PRJ_0004,Valencia,granted,vacant,0,,LOW,2025-10-13
PRJ_0004_U045,PRJ_0004,Valencia,in_review,vacant,0,,LOW,2026-02-13
PRJ_0004_U046,PRJ_0004,Valencia,granted,reserved,1,hipoteca,HIGH,2026-02-13
PRJ_0004_U047,PRJ_0004,Valencia,granted,vacant,1,servidumbre,MED,2025-06-13
PRJ_0004_U048,PRJ_0004,Valencia,granted,vacant,0,,LOW,2025-01-13
PRJ_0004_U049,PRJ_0004,Valencia,granted,vacant,0,,LOW,2026-10-13
PRJ_0004_U050,PRJ_0004,Valencia,granted,vacant,0,,LOW,2026-05-13
PRJ_0004_U051,PRJ_0004,Valencia,pending,vacant,0,,LOW,2025-05-13
PRJ_0004_U052,PRJ_0004,Valencia,in_review,reserved,0,,LOW,2025-07-13
PRJ_0004_U053,PRJ_0004,Valencia,granted,reserved,1,embargo,HIGH,2025-02-13
PRJ_0004_U054,PRJ_0004,Valencia,granted,reserved,0,,LOW,2025-12-13
PRJ_0004_U055,PRJ_0004,Valencia,granted,vacant,0,,LOW,2026-01-13
PRJ_0004_U056,PRJ_0004,Valencia,granted,occupied,1,hipoteca,HIGH,2024-12-13
PRJ_0004_U057,PRJ_0004,Valencia,granted,vacant,0,,LOW,2026-07-13
PRJ_0004_U058,PRJ_0004,Valencia,granted,vacant,0,,LOW,2025-04-13
PRJ_0004_U059,PRJ_0004,Valencia,granted,vacant,1,embargo,HIGH,2025-02-13
PRJ_0004_U060,PRJ_0004,Valencia,pending,vacant,0,,LOW,2025-09-13
PRJ_0004_U061,PRJ_0004,Valencia,in_review,vacant,0,,LOW,2026-03-13
PRJ_0004_U062,PRJ_0004,Valencia,granted,vacant,0,,LOW,2025-07-13
PRJ_0004_U063,PRJ_0004,Valencia,pending,reserved,0,,LOW,2026-04-13
PRJ_0004_U064,PRJ_0004,Valencia,granted,vacant,0,,LOW,2026-08-13
PRJ_0004_U065,PRJ_0004,Valencia,granted,occupied,1,embargo,HIGH,2025-04-13
PRJ_0004_U066,PRJ_0004,Valencia,granted,vacant,0,,LOW,2025-09-13
PRJ_0004_U067,PRJ_0004,Valencia,in_review,occupied,0,,LOW,2025-07-13
PRJ_0004_U068,PRJ_0004,Valencia,in_review,reserved,0,,LOW,2026-10-13
PRJ_0004_U069,PRJ_0004,Valencia,granted,vacant,0,,LOW,2026-04-13
PRJ_0004_U070,PRJ_0004,Valencia,in_review,occupied,0,,LOW,2026-09-13
PRJ_0004_U071,PRJ_0004,Valencia,granted,reserved,0,,LOW,2026-11-13
PRJ_0004_U072,PRJ_0004,Valencia,granted,reserved,1,servidumbre,MED,2025-04-13
PRJ_0004_U073,PRJ_0004,Valencia,granted,vacant,0,,LOW,2026-02-13
PRJ_0004_U074,PRJ_0004,Valencia,granted,reserved,0,,LOW,2026-03-13
PRJ_0004_U075,PRJ_0004,Valencia,granted,vacant,0,,LOW,2026-04-13
PRJ_0004_U076,PRJ_0004,Valencia,granted,reserved,1,servidumbre,MED,2026-08-13
PRJ_0004_U077,PRJ_0004,Valencia,pending,vacant,0,,LOW,2025-01-13
PRJ_0004_U078,PRJ_0004,Valencia,granted,vacant,0,,LOW,2025-11-13
PRJ_0004_U079,PRJ_0004,Valencia,granted,vacant,0,,LOW,2025-08-13
PRJ_0004_U080,PRJ_0004,Valencia,in_review,vacant,0,,LOW,2025-11-13
PRJ_0004_U081,PRJ_0004,Valencia,granted,occupied,0,,LOW,2025-06-13
PRJ_0004_U082,PRJ_0004,Valencia,in_review,vacant,0,,LOW,2025-02-13
PRJ_0004_U083,PRJ_0004,Valencia,granted,vacant,0,,LOW,2024-11-13
PRJ_0004_U084,PRJ_0004,Valencia,in_review,vacant,0,,LOW,2026-02-13
PRJ_0004_U085,PRJ_0004,Valencia,granted,reserved,0,,LOW,2026-09-13
PRJ_0004_U086,PRJ_0004,Valencia,granted,vacant,0,,LOW,2026-02-13
PRJ_0004_U087,PRJ_0004,Valencia,granted,vacant,0,,LOW,2026-05-13
PRJ_0004_U088,PRJ_0004,Valencia,granted,vacant,0,,LOW,2026-11-13
PRJ_0004_U089,PRJ_0004,Valencia,granted,vacant,0,,LOW,2025-10-13
PRJ_0004_U090,PRJ_0004,Valencia,pending,vacant,0,,LOW,2026-08-13
PRJ_0004_U091,PRJ_0004,Valencia,granted,vacant,0,,LOW,2024-11-13
PRJ_0004_U092,PRJ_0004,Valencia,in_review,vacant,0,,LOW,2026-11-13
PRJ_0004_U093,PRJ_0004,Valencia,granted,vacant,0,,LOW,2025-07-13
PRJ_0004_U094,PRJ_0004,Valencia,granted,vacant,0,,LOW,2025-12-13
PRJ_0004_U095,PRJ_0004,Valencia,granted,occupied,1,servidumbre,MED,2026-03-13
PRJ_0004_U096,PRJ_0004,Valencia,granted,reserved,0,,LOW,2025-12-13
PRJ_0004_U097,PRJ_0004,Valencia,in_review,vacant,0,,LOW,2026-06-13
PRJ_0004_U098,PRJ_0004,Valencia,granted,reserved,0,,LOW,2026-09-13
PRJ_0004_U099,PRJ_0004,Valencia,granted,reserved,0,,LOW,2025-01-13
PRJ_0004_U100,PRJ_0004,Valencia,pending,reserved,0,,LOW,2026-02-13
PRJ_0004_U101,PRJ_0004,Valencia,pending,vacant,1,hipoteca,HIGH,2025-10-13
PRJ_0004_U102,PRJ_0004,Valencia,in_review,vacant,0,,LOW,2025-12-13
PRJ_0004_U103,PRJ_0004,Valencia,granted,occupied,0,,LOW,2026-05-13
PRJ_0004_U104,PRJ_0004,Valencia,granted,vacant,1,hipoteca,HIGH,2025-05-13
PRJ_0004_U105,PRJ_0004,Valencia,granted,occupied,0,,LOW,2025-11-13
PRJ_0004_U106,PRJ_0004,Valencia,granted,vacant,0,,LOW,2026-11-13
PRJ_0004_U107,PRJ_0004,Valencia,granted,vacant,0,,LOW,2025-04-13
PRJ_0004_U108,PRJ_0004,Valencia,granted,vacant,0,,LOW,2025-10-13
PRJ_0004_U109,PRJ_0004,Valencia,in_review,reserved,0,,LOW,2024-11-13
PRJ_0004_U110,PRJ_0004,Valencia,granted,reserved,0,,LOW,2024-12-13
PRJ_0004_U111,PRJ_0004,Valencia,in_review,vacant,0,,LOW,2026-11-13
PRJ_0004_U112,PRJ_0004,Valencia,granted,vacant,0,,LOW,2026-03-13
PRJ_0004_U113,PRJ_0004,Valencia,granted,vacant,0,,LOW,2025-05-13
PRJ_0004_U114,PRJ_0004,Valencia,granted,reserved,1,servidumbre,MED,2025-07-13
PRJ_0004_U115,PRJ_0004,Valencia,granted,reserved,0,,LOW,2026-09-13
PRJ_0004_U116,PRJ_0004,Valencia,granted,occupied,1,embargo,HIGH,2026-01-13
PRJ_0004_U117,PRJ_0004,Valencia,in_review,occupied,0,,LOW,2025-04-13
PRJ_0004_U118,PRJ_0004,Valencia,in_review,occupied,0,,LOW,2026-07-13
PRJ_0004_U119,PRJ_0004,Valencia,granted,vacant,0,,LOW,2026-09-13
